PROPIETARIO,ESTABLECIMIENTO,GIRO,CALLE,COLONIA,CODIGO POSTAL,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES 
GRUPO I), (PSICOTRÓPICOS GRUPOS  II, III), VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS, (I,II,III,V,T,S,A,H) METADONA, OXYCONTIN)"
SANBORN HERMANOS S.A,SANBORNS MERIDA,FARMACIA,"C.56 A N0. 451C X AV. 
COLON Y AV. CUPULES",CENTRO,97000,MERIDA,YUCATAN,FA0501577,12-abr-12,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA MERCADO 
52",FARMACIA,C 67 No 483 X 52,CENTRO,97000,MERIDA,YUCATAN,FA0501571,1-feb-12,"GRUPO  II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"NUEVA WALMART DE 
MEXICO S. DE R.L DE C.V.",BODEGA PROGRESO,FARMACIA,"C. 78 N0. 300 X AV. 
LIBRAMIENTO Y 74",CENTRO,97320,PROGRESO,YUCATAN,FA0590841,14-dic-06,GRUPO II Y III MEDICAMENTOS CON PSEUDOEFEDRINA
"DISTRIBUIDORA DE 
MEDICAMENTOS CIFLO SA 
DE CV","EMERITA FARMACIAS 
SUCURSAL ITZIMNA",FARMACIA,C 16 No 300 X 21,ITZIMNA,97000,MERIDA,YUCATAN,FA0501579,24-abr-12,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"NUEVA WALMART DE 
MEXICO S. DE R.L. DE C.V.","FARMACIA MI BODEGA 
UMAN",FARMACIA,C. 19 S/N X 20 Y 22,SAN LAZARO,97390,UMAN,YUCATAN,FA1010945,3-nov-08,"GRUPO II. III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"NUEVA WALMART DE 
MEXICO S DE RL DE CV","FARMACIA MI BODEGA 
AURRERA IZAMAL",FARMACIA,C 34 N0. 297 X 29 Y 31,CENTRO,97540,IZAMAL,YUCATAN,FA0401574,07-mar-12,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"DISTRIBUIDORA DE 
MEDICAMENTOS CIFLO SA 
DE CV","EMERITA FARMACIAS 
SUCURSAL PROGRESO 
FARO",FARMACIA,C 80 N0 117 X 27,CENTRO,97320,PROGRESO,YUCATAN,FA0591582,24-may-12,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL,Y 
TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE C.V.","DEL AHORRO SUC. PLAZA 
ORIENTE",FARMACIA,C. 65 N0. 201 X 65 Y 63-D,CENTRO,97000,MERIDA,YUCATAN,FA0501581,24-may-12,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"DISTRIBUIDORA DE 
MEDICAMENTOS CIFLO SA 
DE CV","EMERITA FARMACIAS 
SUCURSAL MAYA",FARMACIA,"AVENIDA C 7 No 540 X 24 Y 
24-A",MAYA,97134,MERIDA,YUCATAN,FA0501594,05-sep-12,"GRUPO II, III. VACUNAS,SUEROS DE ORIGEN ANIMAL, 
TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA ESPITA,FARMACIA,C 24 No 201 X 25 Y 25-A,CENTRO,97730,ESPITA,YUCATAN,FA0321621,21-may-13,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL,  
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA LIMONES,FARMACIA,"C 35 No 208 LOCAL 2,3,4 X 
26",LIMONES,97219,MERIDA,YUCATAN,FA0501591,05-sep-12,"GRUPO  II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL,  
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA TEKAX II,FARMACIA,C 55 No 200-A,CENTRO,97970,TEKAX,YUCATAN,FA0791627,20-jun-13,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA  MERIDA 
PACABTUN",FARMACIA,C 29-A No 343 X 50,PACABTUN,97160,MERIDA,YUCATAN,FA0501587,04-jul-12,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"FARMACIAS DE VALOR S.A 
DE C.V","FARMACIAS DE VALOR S.A 
DE C.V",FARMACIA,C. 31 N0. 109 X 22 Y 24,MEXICO NORTE,97125,MERIDA,YUCATAN,FA0501589,17-ago-12,"GRUPO  II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"INSTITUTO DE SEGURIDAD 
SOCIAL Y SERVICIO SOCIAL 
DE LOS TRABAJADORES DEL 
ESTADO","UNIDAD DE MEDICINA 
FAMILIAR DE TIXKOKOB",FARMACIA,C. 21 N0. 99 E X 24 Y 26,CENTRO,97470,TIXKOKOB,YUCATAN,FA0931611,22-feb-13,"GRUPO I,II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES."
FARMACON SA DE CV,FARMACIA YZA MAXCANU,FARMACIA,C 20 No 96 X 21,CENTRO,97800,MAXCANU,YUCATAN,FA0480874,24-dic-07,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"INSTITUTO DE SEGURIDAD 
SOCIAL Y SERVICIO SOCIAL 
DE LOS TRABAJADORES DEL 
ESTADO","UNIDAD DE MEDICINA 
FAMILIAR IZAMAL",FARMACIA,C. 32 N0. 305 X 25 Y 27,CENTRO,97540,IZAMAL,YUCATAN,FA0401615,27-mar-13,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR",BAZAR SUCURSAL IZAMAL,FARMACIA,C. 31 N0. 291 X 28 Y 30,CENTRO,97540,IZAMAL,YUCATAN,FA0400879,09-may,"GRUPO I, II, III, VACUNAS,  ANTITOXINAS DE ORIGEN 
ANIMAL, HEMODERIVADOS Y TOXOIDES"
"IMPULSORA FARMACEUTICA 
DEL BAZAR SA DE CV","BAZAR SUCURSAL 
PROLONGACION MONTEJO",FARMACIA,"C. 30 N0. 92 C LOCAL 1Y2 X 
17 Y 19",MEXICO,97125,MERIDA,YUCATAN,FA0501590,17-ago-12,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR","BAZAR SUCURSAL 
FRANCISCO DE MONTEJO 3",FARMACIA,"C. 50 N0. 221 LOCAL 6 X 45 
B Y 47-A","FRANCISCO DE 
MONTEJO",97203,MERIDA,YUCATAN,FA0501600,04-oct-12,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR",BAZAR SUC. LAS AMERICAS,FARMACIA,"C. 100 N0. 252 LOXCAL 1 X 
59 Y 98","FRACC. LAS 
AMERICAS",97302,MERIDA,YUCATAN,FA0501597,03-oct-12,"GRUPO I, II, III, VACNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS"
"FARMACIAS DE VALOR S.A 
DE C.V","FARMACIAS DE VALOR S.A 
DE C.V",FARMACIA,C. 32 N0. 254 X 29 Y 31,GARCIA GINERES,97070,MERIDA,YUCATAN,FA0501599,28-sep-12,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"FARMACIA COMERCIO SAN 
CRISTOBAL S.A DE C.V.",COMERCIO SANTA MARIA,FARMACIA,C. 69 N0. 430 X 46 Y 48,"SAN CRISTOBAL 
(CENTRO)",97000,MERIDA,YUCATAN,FA0501554/11,28-jul-11,"GRUPO II, III, VACUNAS SUEROS DE ORIGEN 
ANIMAL,ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"INSTITUTO DE SEGURIDAD 
SOCIAL Y SERVICIO SOCIAL 
DE LOS TRABAJADORES DEL 
ESTADO","UNIDAD DE MEDICINA 
FAMILIAR DE MOTUL",FARMACIA,C. 28 N0. 279 A X 19 Y 21,CENTRO,97430,MOTUL,YUCATAN,FA0521607,28-nov-12,"GRUPO I,II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES."
FARMACON SA DE CV,"FARMACIA YZA FRACC. LAS 
AMERICAS II",FARMACIA,C 102 N0. 263-A X 59 Y 102,LAS AMERICAS,97302,MERIDA,YUCATAN,FA0501595,20-sep-12,"GRUPO  II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA POLIGONO II,FARMACIA,"C 20 No 294 LOCAL 8 X 31-A 
Y 35","BOULEVARES DE 
ORIENTE",97143,MERIDA,YUCATAN,FA0501596,20-sep-12,"GRUPO II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, HEMODERIVADOS Y TOXOIDES"
"INSTITUTO MEXICANO DEL 
SEGURO SOCIAL","UNIDAD MEDICA FAMILIAR 
N0. 20 CAUCEL",FARMACIA,C. 80 N0. 673 X 31 Y 59,"COMPLEJO 
HABITACIONAL CD. 
CAUCEL",97314,MERIDA,YUCATAN,FA0501620,23-may-12,GRUPO II
FARMACON SA DE CV,"FARMACIA YZA MERIDA LA 
FLORIDA",FARMACIA,"C 17 MZA 328 N0 204  
LOCALES 4 Y 5 X 26 Y 28",LA FLORIDA,97138,MERIDA,YUCATAN,FA0501603,08-nov-12,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA MERIDA 
REFORMA",FARMACIA,"C 35 MZA 208 No 526-D 
FRACC I X  AV REFORMA 72-
A",CENTRO,97000,MERIDA,YUCATAN,FA0501609,09-ene-13,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERVADOS Y TOXOIDES"
"INSTITUTO MEXICANO DEL 
SEGURO SOCIAL",IMSS,FARMACIA,C. 41 N0. 256 X 54,BACALAR,97780,VALLADOLID,YUCATAN,FA1020927,22-ene-07,"GRUPOI,  II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"NUEVA WALMART DE 
MEXICO S. DE R.L. DE C.V.","BODEGA AURRERA 
VALLADOLID",FARMACIA,C. 37 N0. 210 A Y 212,BACALAR,97784,VALLADOLID,YUCATAN,FA1021604,08-nov-12,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
FARMACON SA DE CV,YZA PARQUE ESPERANZA,FARMACIA,C 61 No 308 X 14 Y 16,ESPERANZA,97169,MERIDA,YUCATAN,FA0501592,05-sep-12,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES."
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR 
SUCURSAL PETO",FARMACIA,C. 30 N0. 200 X 31,CENTRO,97930,PETO,YUCATAN,FA0580923,20-dic-07,"GRUPO II, III, VACUNAS, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS, TOXOIDES."
"NUEVA WALMART DE 
MEXICO S. DE R.L. DE C.V.",MI BODEGA HUNUCMA,FARMACIA,C.25 N0. 195 X 28 Y 32,CENTRO,97350,HUNUCMA,YUCATAN,FA0380908,24-dic-07,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
FARMACON SA DE CV,YZA EL PORVENIR,FARMACIA,C. 128 N0. 318 LOCAL 1 X 55,EL PORVENIR,97226,MERIDA,YUCATAN,FA0501601,04-oct-12,"GRUPO II, III. VACUNAS, SUEROS DE ORIGEN, 
HEMODERIVADOS Y TOXOIDES"
"CASA MARZAM, SA DE CV","CASA MARZAN SA DE CV 
SUCURSAL MERIDA",ALMACEN,C 19 N0 418 X 56,"AMPLIACION 
CIUDAD INDUSTRIAL",37390,UMAN,YUCATAN,31 101 08 0001,16-dic-09,GRUPO II Y III
"DISTRIBUIDORA MEDICA Y 
HOSPITALARIA QUIROZ SA 
DE CV",FARMACIA DE LA OFERTA,FARMACIA,"C. 33-A N0. 501-B LOCAL 8 X 
AV COLON Y 62",CENTRO,97000,MERIDA,YUCATAN,FA0501535,01-dic-10,"GRUPO I, II, II, VACUNAS, SUEROS DE ORIGEN ANIMAL Y 
TOXOIDES."
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE CV",DEL AHORRO SUC. PASAJE,FARMACIA,"C. 58 N0. 530 INTERIOR 2 X 
63 Y 63-A",CENTRO,97000,MERIDA,YUCATAN,FA0500958,16-nov-12,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"DISTRIBUIDORA DE 
MEDICAMENTOS CIFLO SA 
DE CV","FARMACIA EMERITA 
SUCURSAL LINDAVISTA",FARMACIA,C 19-B No 359 X 44 Y 44-A,"PEDREGALES DE 
LINDAVISTA",97219,MERIDA,YUCATAN,FA0501679,20-dic-12,"GRUPO  I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE CV","DEL AHORRO SUCURSAL 
CAMARA  DE COMERCIO",FARMACIA,"C. 37 N0. 202 LOCAL 1 X 18 
Y 22",MONTECRISTO,97133,MERIDA,YUCATAN,FA0500901,17-sep-12,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA MEXICO,FARMACIA,"C 18 MZA 289 No 100-A X 21 
Y 19",ITZIMNA,97100,MERIDA,YUCATAN,FA0501613,22-feb-13,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL,  
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA VALLADOLID 
FERNANDO NOVELO",FARMACIA,"C 27 SM 63 No 144 LOCAL 1 
X 32",FERNANDO NOVELO,97780,VALLADOLID,YUCATAN,FA1021614,04-mar-12,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"TIENDAS CHEDRAUI SA DE 
CV","TIENDAS CHEDRAUI S.A DE 
C.V.",FARMACIA,C 23 No 612 X 62 Y 70,CIUDAD CAUCEL,97314,MERIDA,YUCATAN,FA0501617,27-mar-13,"GRUPO I, II, III Y TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA VALLADOLID 
5 CALLES",FARMACIA,C 41 No 220 X 44 Y 46,CENTRO,97780,VALLADOLID,YUCATAN,FA1021616,27-mar-13,"GRUPO  II, III, VACUNAS, SUEROS DE ORIGEN  ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
TEINDAS SORIANA SA DE CV,SORIANA MOTUL,FARMACIA,C  28 No 308-A X 31 Y 33,CENTRO,97432,MOTUL,YUCATAN,FA0521624,23-may-13,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA MERIDA SAN 
RAMON",FARMACIA,C 30 No 335 local 2 x 41 y 43,SAN RAMON NORTE,97100,MERIDA,YUCATAN,FA0501625,23-may-13,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
FARMACON SA DE CV,YZA MERIDA CAUCEL,FARMACIA,"C 23 MZA 929 No 606 LOCAL 
15 X 62 Y 70",CIUDAD CAUCEL,97314,CAUCEL,YUCATAN,FA0501623,21-may-13,"GRUPO  II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"DISTRIBUIDORA DE 
MEDICAMENTOS CIFLO SA 
DE CV","EMERITA FARMACIAS 
SUCURSAL AMERICAS",FARMACIA,"AVENIDA C 59 No 600 X 74 Y 
76",LAS AMERICAS,97302,MERIDA,YUCATAN,FA0501626,10-jun-13,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"INSTITUTO MEXICANO DEL 
SEGURO SOCIAL","UNIDAD MEDICA FAMILIAR 
No  20 CAUCEL",FARMACIA,"C 80 No 673 x 31 y calle 59 
DIRECCION FISICA CALLE 
51-A No. 673 x 80 y 82",CIUDAD CAUCEL,97314,MERIDA,YUCATAN,FA0501620,23-may-13,GRUPO II
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE CV","FARMACIAS DEL AHORRO 
SUCURSAL CALLE 20",FARMACIA,"C 20 No 44-Q ENTRE 
ESQUINA 1-H X 18 Y 20",MEXICO NORTE,97070,MERIDA,YUCATÁN,FA0501629,25-sep-13,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINA DE ORIGEN ANIMAL, HEMODERIVADOS, 
TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIA BAZAR 
SUCURSAL PINOS",FARMACIA,"C 17 No 392 LOCAL 1 Y 2 X 
42 Y 44",LOS PINOS,97138,MERIDA,YUCATAN,FA0501628,19-sep-13,"GRUPO II, III"
"DISTRIBUIDORA DE 
MEDICAMENTOS CIFLO SA 
DE CV","EMERITA FARMACIAS 
SUCURSAL JUAN PABLO II",FARMACIA,AVENIDA C 65-A No 425 X 26,JUAN PABLO II,97246,MERIDA,YUCATAN,FA0501630,08-nov-13,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV",BAZAR PROGRESO II,FARMACIA,C 78 No 251-C X 39 Y 41,CENTRO,97320,PROGRESO,YUCATAN,FA0591631,02-dic-13,"GRUPO II, III Y SUEROS DE ORIGEN ANIMAL"
TEINDAS SORIANA SA DE CV,"SORIANA PUERTO 
PROGRESO",FARMACIA,"C 80 No 256 ESQ CON 
CALLE 93",CENTRO,97320,PROGRESO,YUCATAN,FA0591632,13-ene-14,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
DEL BAZAR SA,BAZAR SUCURSAL ITZIMNA,FARMACIA,C 18 No 102 X 21 Y 4,ITZIMNA,97100,MERIDA,YUCATAN,FA0501633,13-ene-14,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA TEMOZON,FARMACIA,C 10 No 56 X 13,TEMOZON,97740,TEMOZON,YUCATAN,FA0851635,30-ene-14,"GRUPO  II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"SERVICIOS DE SALUD DE 
YUCATAN","FARMACIA DEL HOSPITAL 
GENERAL DE VALLADOLID",FARMACIA,"TABLAJE CATASTRAL 10343 
AVENIDA VICTOR CERVERA 
PACHECO",,97780,VALLADOLID,YUCATAN,FA1021636,11-feb-14,"GRUPO I, II, III"
FARMACON SA DE CV,"FARMACIA YZA MERIDA 
VERGEL",FARMACIA,"C 8-B No 289 LOCAL 1 X 17-
A Y 17-B",VERGEL III,97173,MERIDA,YUCATAN,FA0501634,30-ene-14,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL,  
HEMODERIVADOS Y TOXOIDES."
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV",BAZAR SUCURSAL CAUCEL,FARMACIA,"C 59 No 684 LOCAL 5 X 86 Y 
88",LOS ALMENDROS,97314,MERIDA,YUCATAN,FA0501637,19-mar-14,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL Y 
TOXOIDES."
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV",BAZAR LEANDRO VALLE,FARMACIA,C 20 No 238 X 39 Y 41,LEANDRO VALLE,97143,MERIDA,YUCATAN,FA0501638,19-mar-14,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
EZRA ROMERO BISTRE,"DERMOCUTANEA DEL 
SURESTE SA DE CV",FARMACIA,C 30 No 333 local 7 x 41 y 43,SAN RAMON NORTE,97117,MERIDA,YUCATAN,FA0501639,19-mar-14,GRUPO II
FARMACON SA DE CV,YZA OXKUTZCAB II,FARMACIA,C 51 No 106-D X 52 Y 54,CENTRO,97880,OXKUTZCAB,YUCATAN,FA0561642,14-abr-14,"GRUPO  II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,YZA MERIDA CITY CENTER,FARMACIA,"C 30 No 185 X 43 Y ANILLO 
PERIFERICO LIC. MANUEL 
BERZUNZA",SAN RAMON NORTE,97117,MERIDA,YUCATAN,FA0501641,14-abr-14,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA OXKUTZCAB 
III",FARMACIA,"C 49 No 101 LOCAL 2 Y 3 X 
50 Y 52",CENTRO,97880,OXKUTZCAB,YUCATAN,FA0561640,14-abr-14,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"IMPULSORA FARMACEUTICA 
DEL BAZAR SA DE CV","FARMACIAS BAZAR 
SUCURSAL MEXICO",FARMACIA,"C 1-H No 149 X 14-A Y 16 
LOCAL 1 Y 2",MEXICO,97128,MERIDA,YUCATAN,FA0501643,24-abr-14,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA VALLADOLID 
CENTRO",FARMACIA,"C 42 MZA 42 No 193-C 
DEPTO 2 P/B X 39 ESQUINA",CENTRO,97780,VALLADOLID,YUCATAN,FA1021645,29-abr-14,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA MERIDA 
MULCHECHEN",FARMACIA,"C 75-A No 159 LOCAL 1 X 44 
Y 46","AMPLIACION 
XELPAC",97370,KANASIN,YUCATAN,FA0411644,24-abr-14,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV",FARMACIAS BAZAR CHEMAX,FARMACIA,C 22 No 99 X 19 Y 21,CENTRO,97770,CHEMAX,YUCATAN,FA0191647,09-jun-14,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR 
VALLADOLID 2",FARMACIA,C 42 No 168-O X 25,SANTA LUCIA,97780,VALLADOLID,YUCATAN,FA1021650,09-jun-14,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR VISTA 
ALEGRE NORTE",FARMACIA,C 18 No 204 X 1 Y 1-A,"VISTA ALEGRE 
NORTE",97130,MERIDA,YUCATAN,FA0501648,09-jun-14,"GRUPO II, III, SUEROS DE ORIGEN ANIMAL Y 
HEMODERIVADOS"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE CV","DEL AHORRO SUCURSAL 
JUAREZ NORTE",FARMACIA,C 54 No 336 X 39 Y 41,"BENITO JUAREZ 
NORTE",97119,MERIDA,YUCATAN,FA0501649,09-jun-14,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"DERMATOLOGICA 
TERRANOVA S DE RL DE CV","DERMATOLOGICA 
TERRANOVA",FARMACIA,C 15 No 491 LOCAL 7,ALTABRISA,97130,MERIDA,YUCATAN,FA0501651,01-jul-14,GRUPO II
"INSTITUTO DE SEGURIDAD 
SOCIAL Y SERVICIO SOCIAL 
DE LOS TRABAJADORES DEL 
ESTADO","UNIDAD DE MEDICINA 
FAMILIAR DE MUNA",FARMACIA,C 22 No 208 X 19 Y 21,CENTRO,97840,MUNA,YUCATAN,FA0531652,01-jul-14,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE CV","FARMACIAS DEL AHORRO 
SUCURSAL COLONIA 
MEXICO",FARMACIA,C 20 No 102 X 21 Y 23,MEXICO NORTE,97125,MERIDA,YUCATAN,FA0501653,10-jul-14,"GRUPO  II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV",BAZAR BUCTZOTZ,FARMACIA,C 21 No 106-A X 22 Y 24,CENTRO,97620,BUCTZOTZ,YUCATAN,FA0061654,05-ago-14,"GRUPO II, III, SUEROS DE ORIGEN ANIMAL Y 
HEMODERIVADOS"
