ESTABLECIMIENTO,"GIRO (FARMACIA, 
BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION 
AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS)"
FARMACIA DE ESPECIALIDADES DERMATOLOGICAS,DROGUERIA,"VIA MORELOS 172 LOC C-5 PLAZA 
ECATEPEC",LOS LAURELES,55170,ECATEPEC,ESTADO DE MÉXICO,15033080029,19-Jun-12,"PREPARACION Y EXPENDIO DE FORMULAS 
MAGISTRALES"
FARMACIA HANK GONZALEZ,FARMACIA,AV. SAN ANDRES No. 4,HANK GONZALEZ,9030,ECATEPEC,ESTADO DE MÉXICO,15033090030,25-Jun-12,PSICOTROPICOS Y ESTUPEFACIENTES
FARMACIA MERCADO SORIANA SUC. LAS FLORES,FARMACIA,VIA LOPEZ PORTILLO No. 105,ZACUATITLA,55700,COACALCO,ESTADO DE MÉXICO,15033090031,11-Jul-12,"ESTUPEFACIENTES, PSICOTROPICOS, 
VACUNAS, TOXOIDES, ANTITOXINAS Y 
HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,AV. MORELOS 158 ESQ ZAPOTE,EL CALVARIO,55020,ECATEPEC,ESTADO DE MÉXICO,15033090032,30-Jul-12,"ESTUPEFACIENTES, PSICOTROPICOS, 
VACUNAS, TOXOIDES, ANTITOXINAS Y 
HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,"BLVD INSURGENTES ESQ. PUERTO 
TAMPICO",TIERRA BLANCA,55020,ECATEPEC,ESTADO DE MÉXICO,15033090033,30-Jul-12,"ESTUPEFACIENTES, PSICOTROPICOS, 
VACUNAS, TOXOIDES, ANTITOXINAS Y 
HEMODERIVADOS"
FARMACIA GUADALAJARA,FARMACIA,AV. JARDINES DE MORELOS No. 13,JARDINES DE MORELOS,55070,ECATEPEC,ESTADO DE MÉXICO,15033090034,03-ago-12,"ESTUPEFACIENTES, PSICOTROPICOS, 
VACUNAS, TOXOIDES, ANTITOXINAS Y 
HEMODERIVADOS"
FARMACIA,FARMACIA,VALLE DE MITLA MZ-72 LT-18,VALLE DE ANAHUAC SECC. B,55248,ECATEPEC,ESTADO DE MÉXICO,15033090035,08-ago-12,"ESTUPEFACIENTES, PSICOTROPICOS, 
VACUNAS, TOXOIDES, ANTITOXINAS Y 
HEMODERIVADOS"
FARMACIA DEL AHORRO,FARMACIA,ECATEPEC OTE. No.2,SAN JOSE JAJALPA,55090,ECATEPEC,ESTADO DE MÉXICO,15033090036,17-Sep-12,"PSICOTROPICOS, TOXOIDES, VACUNAS 
HEMODERIVADOS Y SUEROS DE ORIGEN 
ANIMAL"
FARMACIA DEL AHORRO,FARMACIA,AV. MEXICO No. 176 P.B.,SANTA MARIA TULPETLAC,55418,ECATEPEC,ESTADO DE MÉXICO,15033090037,18-Oct-12,"PSICOTROPICOS, TOXOIDES, VACUNAS 
HEMODERIVADOS Y SUEROS DE ORIGEN 
ANIMAL"
FARMACIA,FARMACIA,CHICOLOAPAN MZ-9 LT-34,EL CEGOR,,ECATEPEC,ESTADO DE MÉXICO,15033090038,24-Oct-11,"PSICOTROPICOS, TOXOIDES, VACUNAS 
HEMODERIVADOS Y SUEROS DE ORIGEN 
ANIMAL"
FARMACIA MEDICA SAN PEDRO ECATEPEC,FARMACIA,AV. CENTRAL S/N FRACCION 6 LT-3,JARDINES DE MORELOS,55070,ECATEPEC,ESTADO DE MÉXICO,15033090039,12-Nov-12,"PSICOTROPICOS, TOXOIDES, VACUNAS 
HEMODERIVADOS Y SUEROS DE ORIGEN 
ANIMAL"
FARMACIA,FARMACIA,ENRIQUE MILLAN CEJUDO 263,SAN RAFAEL,55719,COACALCO,ESTADO DE MÉXICO,15033090040,12-Nov-12,"ESTUPEFACIENTES, PSICOTROPICOS, 
VACUNAS TOXOIDES Y HEMODERIVADOS"
FARMACIA WALMART SUPERCENTER COACALCO,FARMACIA,AV. JOSE LOPEZ PORTILLO No. 101-D,ZACUAUTITLA,55700,COACALCO,ESTADO DE MÉXICO,15033090041,05-dic-12,"ESTUPEFACIENTES, PSICOTROPICOS, 
VACUNAS TOXOIDES Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,AV. JOSE LOPEA PORTILLO No. 79,VILLA DE LAS FLORES,55710,COACALCO,ESTADO DE MÉXICO,15033090042,11-dic-12,"PSICOTROPICOS, TOXOIDES, VACUNAS 
HEMODERIVADOS Y SUEROS DE ORIGEN 
ANIMAL"
FARMACIA DEL AHORRO,FARMACIA,"AV.JOSE LOPEZ PORTILLO # 101-D,",ZACUAUTITLA,55700,"COACALCO DE 
BERRIOZABAL",ESTADO DE MÉXICO,15033090042,11-dic-12,"PSICOTROPICOS, TOXOIDES, VACUNAS 
HEMODERIVADOS Y SUEROS DE ORIGEN 
ANIMAL"
FARMACIA DEL AHORRO,FARMACIA,A.LOPEZ MATEOS # 28 ESQ. HUMATZIN,CENTRO ECATEPEC,55000,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090043,18-ene-13,"PSICOTROPICOS, TOXOIDES, VACUNAS 
HEMODERIVADOS Y SUEROS DE ORIGEN 
ANIMAL"
FARMACIA DEL AHORRO,FARMACIA,"AV. MORELOS # 50,",CRUZTITLA,55700,"COACALCO DE 
BERRIO9ZABAL",ESTADO DE MÉXICO,15033090044,11-ene-13,"PSICOTROPICOS, TOXOIDES, VACUNAS 
HEMODERIVADOS Y SUEROS DE ORIGEN 
ANIMAL"
FARMACIA SAN PABLO SUC. ECATEPEC,FARMACIA,BLVD.INSURGENTES 117-A,EL CALVARIO,55020,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090045,11-Feb-13,"PSICOTROPICOS, TOXOIDES, VACUNAS 
HEMODERIVADOS Y SUEROS DE ORIGEN 
ANIMAL"
FARMACIA CON MINISUPER,FARMACIA,URANO # 50 MZ.11  LT.21 FRACC.  C S/N,LA ESTRELLA,55210,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090046,11-Feb-13,"PSICOTROPICOS, TOXOIDES, VACUNAS 
HEMODERIVADOS Y SUEROS DE ORIGEN 
ANIMAL"
FARMACIA ECATEPEC CENTRO,FARMACIA,AV. REVOLUCION S/N,SAN CRISTOBAL CENTRO,55000,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090047,11-Feb-13,"PSICOTROPICOS, TOXOIDES, VACUNAS 
HEMODERIVADOS Y SUEROS DE ORIGEN 
ANIMAL"
SAMS CLUB ECATEPEC,FARMACIA,AV.REVOLUCION S/N,SAN CRISTOBAL CENTRO,55000,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090048,11-Feb-13,"PSICOTROPICOS, TOXOIDES, VACUNAS 
HEMODERIVADOS Y SUEROS DE ORIGEN 
ANIMAL"
FARMACIA,FARMACIA,BENITO JUAREZ 102 S/N,SAN PEDRO XALOSTOC,55310,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,1503309049,02-abr-13,"PSICOTROPICOS, TOXOIDES, VACUNAS 
HEMODERIVADOS Y SUEROS DE ORIGEN 
ANIMAL"
FARMACIA SANA SANA,FARMACIA,BLVD. DE LOS AZTECAS MZ-509 LT-1,CD. AZTECA,55120,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,1503309050,02-abr-13,"PSICOTROPICOS, TOXOIDES, VACUNAS 
HEMODERIVADOS Y SUEROS DE ORIGEN 
ANIMAL"
FARMACIA SANA SANA,FARMACIA,VIA MORELOS No.2,SAN JOSE JAJALPA,55090,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090051,02-abr-13,"PSICOTROPICOS, TOXOIDES, VACUNAS 
HEMODERIVADOS Y SUEROS DE ORIGEN 
ANIMAL"
REYES VERA DISTRIBUIDORA DE MEDICAMENTOS S.A. DE C.V.,FARMACIA,ACONITOS No.113 MZ-122 LT-24,VILLA DE LAS FLORES,55710,"COACALCO DE 
BERRIOZAL",ESTADO DE MÉXICO,15033090052,23-May-13,"PSICOTROPICOS, TOXOIDES, VACUNAS 
HEMODERIVADOS Y SUEROS DE ORIGEN 
ANIMAL"
FARMACIA ESPECIALIZADA LA PAZ,FARMACIA,"CONDOMINIO SANTIAGO DE CHILE MZ-
22 LT-2 No.2","LAS AMERICAS CONJUNTO 
HABITACIONAL",55070,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090053,19-Jun-13,"PSICOTROPICOS, TOXOIDES, VACUNAS 
HEMODERIVADOS Y SUEROS DE ORIGEN 
ANIMAL"
FARMACIA GUADALAJARA,FARMACIA,AV. PRESIDENTES No 261,SAN LORENZO TETLIXTAC,55714,"COACALCO DE 
BERRIOZABAL",ESTADO DE MÉXICO,15033090054,20-Jun-13,"PSICOTROPICOS, TOXOIDES, VACUNAS 
HEMODERIVADOS Y SUEROS DE ORIGEN 
ANIMAL"
FARMACIA SAN PABLO SUC. COACALCO,FARMACIA,VIA LOPEZ PORTILLO No. 73,SAN FRANCISCO COACALCO,55700,"COACALCO DE 
BERRIOZABAL",ESTADO DE MÉXICO,15033090055,20-Jun-13,"PSICOTROPICOS, TOXOIDES, VACUNAS 
HEMODERIVADOS Y SUEROS DE ORIGEN 
ANIMAL"
FARMACIA SAN PABLO SUC. AZTECAS R-1,FARMACIA,"CALZADA DEL QUINTO SOL MZ-302 
LT.46 No. EXT. 2",FRACCIONAMIENTO AZTECA,55120,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090056,17-Sep-13,"PSICOTROPICOS, TOXOIDES, VACUNAS 
HEMODERIVADOS Y SUEROS DE ORIGEN 
ANIMAL"
FARMACIA SAMS,FARMACIA,AV. CARLOS HANK GONZALEZ No. 120,RINCONADA DE ARAGON,55140,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090057,30-Oct-13,"PSICOTROPICOS, TOXOIDES, VACUNAS 
HEMODERIVADOS Y SUEROS DE ORIGEN 
ANIMAL"
FARMACIA SOLUGLOB IKON,FARMACIA,SIMON BOLIVAR S/N,"FRACCIONAMIENTO LAS 
AMERICAS",55070,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090058,30-Oct-13,"PSICOTROPICOS, TOXOIDES, VACUNAS 
HEMODERIVADOS Y SUEROS DE ORIGEN 
ANIMAL"
FARMACIA COACALCO,FARMACIA,"BOULEVARD COACALCO No. 134-A LOC. 
1",VILLA DE LAS FLORES,55710,"COACALCO DE 
BERRIOZABAL",ESTADO DE MÉXICO,15033090059,30-Oct-13,"PSICOTROPICOS, TOXOIDES, VACUNAS 
HEMODERIVADOS Y SUEROS DE ORIGEN 
ANIMAL"
FARMACIAS BENAVIDES SUC. DALIAS,FARMACIA,AV. CARLOS PICHARDO CRUZ No.37,"UNIDAD HABITACIONAL SAN 
RAFAEL",55719,"COACALCO DE 
BERRIOZABAL",ESTADO DE MÉXICO,15033090060,12-Nov-13,"PSICOTROPICOS, TOXOIDES, VACUNAS 
HEMODERIVADOS Y SUEROS DE ORIGEN 
ANIMAL"
FARMAJAZ,FARMACIA,FUENTE DE BACO No. 22,JARDINES DE MORELOS,55070,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090061,05-dic-13,PSICOTROPICOS GRUPOS II Y III
FARMACIA FARMATODO SUC. PLAZA ARAGON,FARMACIA,AV. CENTRAL No. 120 LOC. 84 Y 85,CD. AZTECA,55140,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090062,05-dic-13,"PSICOTROPICOS, TOXOIDES, VACUNAS 
HEMODERIVADOS Y SUEROS DE ORIGEN 
ANIMAL"
"FARMACIA WAL MART SUPERCENTER, SUPERPLAZA ECATEPEC",FARMACIA,"AV. CENTRAL CARLOS HANK GONZALEZ 
S/N",SANTA MARIA TULPETLAC,55700,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090063,16-ene-14,"PSICOTROPICOS, TOXOIDES, VACUNAS 
HEMODERIVADOS Y SUEROS DE ORIGEN 
ANIMAL"
FARMACIA FARMATODO SUCURSAL COACALCO,FARMACIA,VIA LOPEZ PORTILLO No.105 LOC. D,ZACUAUTITLA,55700,"COACALCO DE 
BERRIOZABAL",ESTADO DE MÉXICO,15033090064,29-ene-14,"PSICOTROPICOS GRUPOS II Y III, VACUNAS, 
TOXOIDES, SUEROS, ANTITOXINAS, 
HEMODERIVADOS"
FARMACIA GUADALAJARA,FARMACIA,SAN ANDRES No. 26,CARLOS HANK GONZALEZ,55520,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090065,18-Feb-14,"PSICOTROPICOS GRUPOS II Y III, VACUNAS, 
TOXOIDES, SUEROS, ANTITOXINAS, 
HEMODERIVADOS"
FARMACIA FARMATODO SUCURSAL ECATEPEC,FARMACIA,VIA MORELOS KM 21.5 No. 108,SAN JOSE JAJALPA,55090,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090066,18-Feb-14,"PSICOTROPICOS GRUPOS II Y III, VACUNAS, 
TOXOIDES"
FARMACIA ANGELES DE ARAGON,FARMACIA,"IGNACIO PICHARDO PAGAZA No.64 MZ-4 
LT-30",CD. AMANECER,55267,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090067,11-abr-14,"PSICOTROPICOS GRUPOS II Y III, VACUNAS, 
TOXOIDES, SUEROS, ANTITOXINAS, 
HEMODERIVADOS"
FARMACIA DE ESPECIALIDADES DERMATOLOGICAS DE MEXICO,DROGUERIA,"VIA MORELOS No. 172 C-5 PLAZA 
ECATEPEC",LOS LAURELES,55090,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090068,18-Jun-14,"PSICOTROPICOS GRUPOS II Y III, 
PREPARACION DE FORMULAS MAGISTRALES  
Y OFICINALES"
CLINICA DE MEDICINA FAMILIAR CON ESPECIALIDADES,FARMACIA,AV. VIA MORELOS KM. 16.5 S/n,JARDINES DE CASANUEVA,55430,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090070,07-ago-14,"PSICOTROPICOS GRUPOS II Y III, 
PREPARACION DE FORMULAS MAGISTRALES  
Y OFICINALES"
TIENDAS CHEDRAUI SOCIEDAD ANINOMA,FARMACIA,"AV. GOBERNADOR LIC ALFREDO DEL 
MAZO MZ. 9 LT. 13,14,15,16 Y17",GRANJAS VALLE DE GUADLUPE,55200,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,1.5033E+11,06-ago-14,"PSICOTROPICOS GRUPOS II Y III, 
PREPARACION DE FORMULAS MAGISTRALES  
Y OFICINALES"
TIENDAS CHEDRAUI SOCIEDAD ANINOMA,FARMACIA,"VIALIDAD MEXIQUENSE PARC No.16 Z.1 
No. 92",EJIDOS SAN FRANCISCO,55700,"COACALCO DE 
BERRIOZABAL",ESTADO DE MÉXICO,15020090072,23-Sep-14,"PSICOTROPICOS GRUPOS II Y III, VACUNAS, 
TOXOIDES, SUEROS, ANTITOXINAS, 
HEMODERIVADOS"
FARMACIA UNIMEDIC,FARMACIA,MONTE AJUSCO No.4,PARQUE RESIDENCIAL COACALCO,55019,"COACALCO DE 
BERRIOZABAL",ESTADO DE MÉXICO,1.5102E+11,02-Oct-14,"PSICOTROPICOS GRUPOS II Y III, VACUNAS, 
TOXOIDES, SUEROS, ANTITOXINAS, 
HEMODERIVADOS"
FARMACIA GRUPO FARMACEUTICO DIOS ES FIEL S.A. DE C.V.,FARMACIA,LOURDES 45,NUEVO PASEO DE SAN AGUSTIN,55130,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,1.5102E+11,29-Oct-14,"PSICOTROPICOS GRUPOS II Y III, VACUNAS, 
TOXOIDES, SUEROS, ANTITOXINAS, 
HEMODERIVADOS"
FARMACIA MEDYSAFE,FARMACIA,VALLE DE MEZEN No.10,VALLE DE ARAGON 3RA SECC,55280,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090074,27-ene-15,"PSICOTROPICOS GRUPOS II Y III, VACUNAS, 
TOXOIDES SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL"
CLINICA MEDICA SAN MARTIN DE PORRES,FARMACIA,MIGUEL HIDALGO MZ-1 LTE-1,VILLA DE GUADALUPE XALOSTOC,55339,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090075,03-Mar-15,"ESTUPEFACIENTES , PSICOTROPICOS, 
VACUNAS,SUEROS TOXOIDES Y 
HEMODERIVADOS"
FARMACIA GUADALAJARA,FARMACIA,BLVD. MORELOS S/N,LOS LAURELES,55090,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090076,23-Mar-15,"PSICOTROPICOS GRUPOS II Y III, 
BIOLOGICOS Y HEMODERIVADOS"
FARMACIA DEL AHORRO,FARMACIA,VIALIDAD MEXIQUENSE No.28,SAN FRANCISCO COACALCO,55712,COACALCO,ESTADO DE MÉXICO,15020090077,20-abr-15,"PSICOTROPICOS GRUPOS II Y III, 
BIOLOGICOS Y HEMODERIVADOS"
FARMACIA,FARMACIA,"LIBERTADORES DE AMERICA No.61 MZA-
9 LTE-9",LAS AMERICAS,55076,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090078,19-May-15,"PSICOTROPICOS GRUPOS II Y III, 
BIOLOGICOS Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,AV. LOPEZ PORTILLO No. 382,GUADALUPE VICTORIA,55010,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090079,21-May-15,"PSICOTROPICOS GRUPOS II Y III, 
BIOLOGICOS Y HEMODERIVADOS"
FARMACIA DE LA UNIDAD MATERNO INFANTIL,FARMACIA,CERRADA PUERTO CAMPECHE No.4,TIERRA BLANCA,55020,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090080,21-May-15,"PSICOTROPICOS GRUPOS II Y III, 
BIOLOGICOS Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,AV. CENTRAL No.22,RINCONADA DE ARAGON,55140,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090081,11-Jun-15,"PSICOTROPICOS GRUPOS II Y III, 
BIOLOGICOS Y HEMODERIVADOS"
PHARMA PLUS S.A. DE C.V. SUC. JARDINES,FARMACIA,"AV. JARDINES DE MORELOS MZ-77 LTE-
12 No.13",FRACC. JARDINES DE MORELOS,55070,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090082,12-Jun-15,"PSICOTROPICOS GRUPOS II Y III, 
BIOLOGICOS Y HEMODERIVADOS"
FARMACIA VIK,FARMACIA,"IGNACIO LOPEZ RAYON No.22 LTE.12 
MZ-2",SANTA MARIA XALOSTOC,55320,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090083,02-Jul-15,PSCICOTROPICOS GRUPOS II Y III
FARMACIA DEL AHORRO,FARMACIA,"AV. BLVD. DE LOS AZTECAS No.103 MZ-
508",CD. AZTECA 1RA SECC,55120,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090084,05-ago-15,"PSICOTROPICOS GRUPOS II Y III, 
BIOLOGICOS Y HEMODERIVADOS"
TIENDAS CHEDRAUI,FARMACIA,"AV. CENTRAL SQ. JARDINES DE 
MORELOS S/N",SANTA CRUZ VENTA DE CARPIO,55065,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090085,21-ago-15,"PSICOTROPICOS GRUPOS II Y III, 
BIOLOGICOS Y HEMODERIVADOS"
FARMACIAS FRANCO,FARMACIA,AV. MORELOS PONIENTE No.23,SAN CRISTOBAL,55000,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090086,22-Sep-15,"VACUNAS, SUEROS, HEMODERIVADOS, 
TOXOIDES, BIOLOGICOS"
FARMACIA ECATEPEC PETROLEOS ECATEPEC,FARMACIA,BLVD. INSURGENTES No.18,ECATEPEC CENTRO,55030,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090087,02-dic-15,"PSICOTROPICOS Y ESTUPEFACIENTES 
GRUPOS II Y III, BIOLOGICOS Y 
HEMODERIVADOS"
FARMACIA SAN PABLO SUC. MUZQUIZ,FARMACIA,"AV. CENTRAL No. 64 MZ-94 LTE 13, 14 Y 
915",VALLE DE ARAGON 3RA. SECC.,55280,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090088,19-ene-16,"PSICOTROPICOS GRUPOS II Y III, TOXOIDES, 
VACUNAS, SUEROS Y ANTITOXINAS, DE 
ORIGEN ANIMAL, BIOLOGICOS Y 
HEMODERIVADOS"
FARMACIA MEDICA QUIRURGICA TULPETLAC S.A. DE C.V.,FARMACIA,AV. ACUEDUCTO No.12,AMPLIACION TULPETLAC,55400,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090089,19-ene-16,"PSICOTROPICOS GRUPOS I, II Y III, 
BIOLOGICOS"
FARMACIAS DEL AHORRO,FARMACIA,"AV. CARLOS HANK GONZALEZ  MZ-20 
LTE-15",PROGRESO DE LA UNION,55118,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090090,27-ene-16,"PSICOTROPICOS GRUPOS II Y III, TOXOIDES, 
VACUNAS, SUEROS Y ANTITOXINAS, DE 
ORIGEN ANIMAL, BIOLOGICOS Y 
HEMODERIVADOS"
"FARMACIA DE LA CLINICA DE MEDICINA FAMILIAR 
C/ESPECIALIDADES XALOSTOC",FARMACIA,AV. VIA MORELOS KM 16.5 S/N,JARDINES DE CASANUEVA,55430,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090091,17-Feb-16,"ESTUPEFACIENTES GRUPO I, 
PSICOTRÓPICOS GRUPOS  II, III, VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS, (I,II,III,V,T,S,A,H) 
METADONA, OXYCONTIN)"
FARMACIA GUADALAJARA,FARMACIA,AV. PRIMERO DE MAYO,JARDINES DE MORELOS,55070,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090092,07-Mar-16,"PSICOTROPICOS GRUPOS II Y III VACUNAS Y 
TOXOIDES"
FARMACIAS DEL AHORRO,FARMACIA,AV. VIA JOSE MARIA MORELOS No. 210,NUEVO LAREDO,55080,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090093,29-Mar-16,"PSICOTROPICOS GRUPOS II Y III, TOXOIDES, 
VACUNAS, SUEROS Y ANTITOXINAS, DE 
ORIGEN ANIMAL, BIOLOGICOS Y 
HEMODERIVADOS"
FARMACIA GUADALAJARA,FARMACIA,AV. SANTA TERESA S/N,OLIMPICA 68,55130,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090094,11-abr-16,"PSICOTROPICOS GRUPOS II Y III, TOXOIDES, 
VACUNAS, SUEROS Y ANTITOXINAS, DE 
ORIGEN ANIMAL, BIOLOGICOS Y 
HEMODERIVADOS"
FARMAYOR DESCUENTO,FARMACIA,ORQUIDEA MZ-3 LTE-1,VISTAHERMOSA,55028,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090095,11-abr-16,"PSICOTROPICOS GRUPOS II Y III, TOXOIDES, 
VACUNAS, SUEROS Y ANTITOXINAS, DE 
ORIGEN ANIMAL, BIOLOGICOS Y 
HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,AV. JOSE LOPEZ PORTILLO No. 408,GUADALUPE VICTORIA,55010,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090096,12-abr-16,"PSICOTROPICOS GRUPOS II Y III, TOXOIDES, 
VACUNAS, SUEROS Y ANTITOXINAS, DE 
ORIGEN ANIMAL, BIOLOGICOS Y 
HEMODERIVADOS"
FARMACIA GUADALAJARA,FARMACIA,CUERNAVACA No.75,JARDINES DE MORELOS 5TA SECC,55075,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090097,11-ago-16,"PSICOTROPICOS GRUPOS II Y III, TOXOIDES, 
VACUNAS, SUEROS Y ANTITOXINAS, DE 
ORIGEN ANIMAL, BIOLOGICOS Y 
HEMODERIVADOS"
FARMACIA GUADALAJARA,FARMACIA,INSURGENTES No.100,TIERRA BLANCA,55020,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15033090098,11-ago-16,"PSICOTROPICOS GRUPOS II Y III, TOXOIDES, 
VACUNAS, SUEROS Y ANTITOXINAS, DE 
ORIGEN ANIMAL, BIOLOGICOS Y 
HEMODERIVADOS"
FARMACIA DE LA CLINICA DE CONSULTA EXTERNA ECATEPEC,FARMACIA,CHIAPAS S/N,SANTA MARIA TULPETLAC,55400,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15 033 10 0052,04-Nov-16,"Psicotrópicos Fracción II y III, Toxoides, 
Antitoxinas de Origen Animal,  Vacunas, 
Hemoderivados."
"UNIDAD DE FARMACIA HOSPITALARIA CENTRO MEDICO 
ECATEPEC (ISSEMYM)",BOTICA,AV. DEL TRABAJO No. 3030,EL CARMEN,,ECATEPEC DE MORELOS,ESTADO DE MÉXICO,15 033 10 0049,04-Nov-16,"Estupefacientes Fracción I, Psicotropicos fraccion 
II y III, Toxoides, Antitoxinas de Origen Animal, 
Vacunas; Hemoderivados, Sueros de Origen 
Animal."
FARMACIA METROPOL,FARMACIA,AVENIDA CIRCUNVALACION S/N,INDUSTRIAL CERRO GORDO,55420,ECATEPEC DE MORELO,ESTADO DE MÉXICO,15 033 09 0100,25-Nov-16,"Estupefacientes grupo I Psicotrópicos Fracción II 
y III Vacunas Toxoides Sueros de origen animal 
Antitoxinas de Origen Animal"
,,,,,,,,,
"BOTICA ""INSTITUTO MEXICANO DEL SEGURO SOCIAL"" CON 
VENTA DE PSICOTROP.",BOTICA,EPIFANIO SANCHEZ NO. 6,EXHACIENDA LAS CONCHITAS,50360,ACULCO,ESTADO DE MÉXICO,1500310046,14 DE JUNIO DE 2001,"GRUPO: I,II,III,  VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS 
DE ORIGEN ANIMAL Y HEMODERIVADOS"
"""  G O R E T Y  """,FARMACIA,AV. FERNANDO ALTAMIRANO S/N.,CABECERA MUNICIPAL,50360,ACULCO,ESTADO DE MÉXICO,15003090001,20 DE ABRIL DE 2005,"GRUPO:II,III, TOXOIDES"
FARMACIA (INTERIOR DE C.E.A.P.S. ),FARMACIA,"FERNANDO ALTAMIRANO ESQ. 
ALFREDO DEL MAZO",CENTRO,50360,ACULCO,ESTADO DE MÉXICO,15003090006,19 DE DICIEMBRE DE 2016,"GRUPO: I,II,III,  VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS 
DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIA INTRAHOSPITALARIA CONCEPCION MARTINEZ IAP,FARMACIA,MATAMOROS 4,CENTRO,50360,ACULCO,ESTADO DE MÉXICO,1500309007,07 DE MAYO DE 2012,"GRUPO: I,II,III,  VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS 
DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIA (INTERIOR C.E.A.P.S.),FARMACIA,AV. HIDALGO S/N,CENTRO,54350,CHAPA DE MOTA,ESTADO DE MÉXICO,15026090003,19 DE DICIEMBRE DE 2016,"GRUPO: I,II,III,  VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS 
DE ORIGEN ANIMAL Y HEMODERIVADOS"
