ESTABLECIMIENTO,"GIRO (FARMACIA, 
BOTICA 
,DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO 
POSTAL","MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
"COMERCIALIZADORA FARMACEUTICA 
DEL SURESTE S.A. DE C.V.",FARMACIA,MARGARITA MAZA DE JUAREZ,,29500,REFORMA,CHIAPAS,07074090008,03/03/2017,"II, III, VACUNAS, TOXOIDES, SUEROS Y HEMODERIVADOS"
"FARMACIA SORIANA EXPRESS SUC. 
REFORMA",FARMACIA,"AV. JOAQUIN M. GUTIERREZ No.L 1 
MZ. R69","ADOLFO LOPEZ MATEOS 
ZON. 5A",29500,REFORMA,CHIAPAS,07074090010,12/09/2012,"II, III, VACUNA, TOXOIDES, ANTITOXINAS Y HEMODERIVADOS"
"NADRO S.A.P.I.  DE C.V. CENTRO DE 
SALUD CON SERV. AMP. REFORMA",FARMACIA,"INT. DEL CENTRO DE SALUN CON 
SERVICIOS REFORMA, AV. 
VENEZUELA",COL. CENTRO,29500,REFORMA,CHIAPAS,07074090011,28/02/2014,"I, II, III,VACUNAS, TOXOIDES,  ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA MI BODEGA AURRERA 
REFORMA CHIAPAS",FARMACIA,"JOAQUIN MIGUEL GUTIERREZ S/N 
COL. ADOLFO LOPEZ MATEOS",ADOLFO LOPEZ MATEOS,29500,REFORMA,CHIAPAS,07074090012,07/02/2014,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA YZA REFORMA MERCADO,FARMACIA,"CALLE JOAQUIN MIGUEL GUTIERREZ, 
S/N",COL. CENTRO,29500,REFORMA,CHIAPAS,07074090014,29/11/2016,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIA YZA REFORMA CENTRO,FARMACIA,"AVENIDA ADOLFO LOPEZ MATEOS 
No. 100",COL. CENTRO,29500,REFORMA,CHIAPAS,07074090016,04/07/2017,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA MI BODEGA AURRERA LAS 
ROSAS",FARMACIA,"SEGUNDA AVENIDA SUR ORIENTE 
No.82",BARRIO LA QUINTA,30354,LAS ROSAS,CHIAPAS,07075090002,17/02/2012,"II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA GUADALUPANA,FARMACIA,"AQUILES SERDAN No.21, CENTRO",CENTRO,,SALTO DE AGUA,CHIAPAS,07077090001,12/10/2005,"I, II, III"
FARMACIA EL FENIX SALTO DE AGUA,FARMACIA,"AV. HOSPITAL S/N, CENTRO",,,SALTO DE AGUA,CHIAPAS,07077090002,09/09/2009,"II, III"
FARMACIAS DE DESCUENTO UNION,FARMACIA,IGNACIO ZARAGOZA S/N,COL. CENTRO,29900,SALTO DE AGUA,CHIAPAS,07077090003,16/12/2016,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA YZA SALTO DE AGUA 
CENTRO",FARMACIA,CALLE IGANCIO ALDAMA S/N,COL. CENTRO,29900,SALTO DE AGUA,CHIAPAS,07077090004,24/07/2017,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA DEL HOSPITAL RURAL SAN 
FELIPE ECATEPEC",FARMACIA,"CARRETERA PANAMERICANA 
KM.1117,",BARRIO FATIMA,,SAN CRISTOBAL,CHIAPAS,07078090001,29/07/2003,"I, II,III, VACUNAS, HEMODERIVADOS, TOXOIDES, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
"FARMACIA DE LA CLINICA HOSPITAL 
D ISSSTE",FARMACIA,"JOSE MARIA MORELOS Y PAVON 
No.57, ALTEJAR",,,SAN CRISTOBAL,CHIAPAS,07078090002,25/07/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DE LA CLINICA HOSPITAL 
D ISSSTE",FARMACIA,"JOSE MARIA MORELOS Y PAVON 
No.57",COL. ALTEJAR,,SAN CRISTOBAL,CHIAPAS,07078090002,25/02/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL CATEDRAL",FARMACIA,"CALLE DIEGO DE MAZARIEGOS ESQ. 
CRECENCIO ROSAS No.1, CENTRO",COL. CENTRO,29000,SAN CRISTOBAL,CHIAPAS,07078090003,23/05/2006,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA ALOPATICA LA MEJOR,FARMACIA,"1° DE MARZO No.63,",LA MERCED,,SAN CRISTOBAL,CHIAPAS,07078090004,29/07/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DE LA UNIDAD DE 
MEDICINA FAMILIAR No.17",FARMACIA,"DIAGONAL HERMANOS PANIAGUA 
ESQ. TABASCO S/N,",BARRIO SAN RAMON,,SAN CRISTOBAL,CHIAPAS,07078090005,13/08/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL MERCADO S.C.L.C.",FARMACIA,"GENERAL UTRILLA No.65, COL. 
CENTRO",COL. CENTRO,29200,SAN CRISTOBAL,CHIAPAS,07078090006,05/07/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA TIENDA DE AUTOSERVICIO 
CHEDRAUI S.A. DE C.V.",FARMACIA,"DIAGONAL HERMANOS PANIAGUA 
No. 50",BARRIO DE SAN RAMON,29240,SAN CRISTOBAL,CHIAPAS,07078090007,20/07/2016,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA BENEFICENCIA 
SANCRISTOBALENSE",FARMACIA,"1° DE MARZO No.25, CENTRO",CENTRO,,SAN CRISTOBAL,CHIAPAS,07078090008,06/03/2006,"I, II, III"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUC. BOULEVARD SAN CRISTOBAL",FARMACIA,"INSURGENTES 1254 CENTRO 
COMERCIAL LOS AZULEJOS, COL. 
LOS PINOS",COL. LOS PINOS,29280,SAN CRISTOBAL,CHIAPAS,07078090009,14/06/2006,"I, II, III, VACUNAS Y TOXOIDES"
"FARMACIAS DEL AHORRO SUCURSAL 
ANDADOR HIDALGO",FARMACIA,"CALLE CUAUHTEMOC S/N,",CENTRO HISTORICO,,SAN CRISTOBAL,CHIAPAS,07078090010,21/04/2006,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIAS DEL AHORRO SUCURSAL 
TEATRO",FARMACIA,"DIAGONAL HERMANOS PANIAGUA 
No.50,",SAN RAMON,29200,SAN CRISTOBAL,CHIAPAS,07078090011,21/04/2006,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIAS DEL AHORRO SUCURSAL 
MERCADO",FARMACIA,"REPUBLICA DOMINICANA S/N, 
CENTRO",CENTRO,29200,SAN CRISTOBAL,CHIAPAS,07078090012,24/04/2006,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIAS DEL AHORRO SUCURSAL 
LAS AMERICAS",FARMACIA,"CALZADA LAS AMERICAS No.5,",SAN DIEGO,29200,SAN CRISTOBAL,CHIAPAS,07078090015,08/11/2006,"II, III"
"OPERADORA DE MEDICINAS DE SAN 
CRISTOBAL S.A. DE C.V.",FARMACIA,CUAUHTEMOC No.9 INT. 1,,,SAN CRISTOBAL,CHIAPAS,07078090016,14/12/2006,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA BIOS,FARMACIA,"CUAUHTEMOC No.9 INT. 1, COL. 
CENTRO",COL. CENTRO,29200,SAN CRISTOBAL,CHIAPAS,07078090016,13/06/2014,"II, III, HEMODERIVADOS,"
"FARMACIA DEL AHORRO SUCURSAL 
SAN CRISTOBAL",FARMACIA,"GENERAL UTRILLA No.2 ESQ. REAL 
DE GUADALUPE",,29200,SAN CRISTOBAL,CHIAPAS,07078090017,28/06/1995,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
BOULEVARD",FARMACIA,"BLVD. JUAN SABINES GUTIERREZ 
No.6-A,",SAN ANTONIO,29240,SAN CRISTOBAL,CHIAPAS,07078090018,07/07/1996,"II, III"
"FARMACIA ALOPATICA INTRAMUROS 
DEL HOSPITAL GENERAL ""I""",FARMACIA,"AV. INSURGENTES No.24,",BARRIO SANTA LUCIA,,SAN CRISTOBAL,CHIAPAS,07078090020,21/07/2000,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA INTRAHOSPITALARIA 
ISSTECH",FARMACIA,"DIEGO DE MAZARIEGOS No.81,",BARRIO DE LA MERCED,,SAN CRISTOBAL,CHIAPAS,07078090021,09/01/2008,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA  EL FENIX SAN CRISTOBAL 
1",FARMACIA,"AV. INSURGENTES No.24, SANTA 
LUCIA",BARRIO,,SAN CRISTOBAL,CHIAPAS,07078090022,01/10/2008,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS ESQUIVAR S.A. DE C.V.,FARMACIA,"CALZADA DE LAS AMERICAS No.18,",SAN DIEGO,,SAN CRISTOBAL,CHIAPAS,07078090023,01/12/2009,"II, III"
"FARMACIA SAM'S SAN CRISTOBAL DE 
LAS CASAS",FARMACIA,"EJE VIAL 1 No.2,",EL RELICARIO,,SAN CRISTOBAL,CHIAPAS,07078090026,29/07/2010,"II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA BODEGA AURRERA SAN 
CRISTOBAL DE LAS CASAS",FARMACIA,"EJE VIAL 1 No.1, EL RELICARIO",EL RELICARIO,,SAN CRISTOBAL,CHIAPAS,07078090027,29/07/2010,"II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA HOSPITAL DE LAS 
CULTURAS",FARMACIA,"PROLONGACION RIO GRIJALVA S/N,",BARRIO DE FATIMA,29264,SAN CRISTOBAL,CHIAPAS,07078090029,14/11/2011,"I, II"
"TIENDAS SORIANA S.A. DE C.V. 
(FARMACIA SORIANA SAN 
CRISTOBAL)",FARMACIA,"BLVD. JUAN SABINES CARRETERA 
PANAMERICANA KM.1178",FATIMA,29264,SAN CRISTOBAL,CHIAPAS,07078090033,11/12/2012,"II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"DALTEM PROVEE NACIONAL S.A. DE 
C.V. FCIA. HG DE LAS CULTURAS",FARMACIA,"INT. DEL HG DE LAS CULTURAS, EJE 
VIAL Y BLVD. JAVIER I. MORENO S/N",BARRIO DE FATIMA,29270,SAN CRISTOBAL,CHIAPAS,07078090034,29/07/2013,"I, II, III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"DALTEM PROVEE NACIONAL S.A. DE 
C.V. FCIA CLINICA H. SAN CRISTOBAL",FARMACIA,"INT. CLINICA H. SAN CRISTOBAL DE 
LAS CASAS DIEGO DE MAZARIEGOS  
BARRIO LA MERCED",BARRIO LA MERCED,29040,SAN CRISTOBAL,CHIAPAS,07078090035,20/11/2013,"I, II, III, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"NADRO S.A.P.I. DE C.V. HOSPITAL 
GENERAL LAS CULTURAS",FARMACIA,"INT. DEL HOSPITAL GENERAL LAS 
CULTURAS, DOMICILIO CONOCIDO 
S/N",BARRIO FATIMA,29270,"SAN CRISTOBAL DE 
LAS CASAS",CHIAPAS,07078090035,21/05/2015,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DISUR DEL HOSPITAL DE 
LAS CULTURAS",FARMACIA,"PROLONGACION RIO GRIJALVA S/N, 
BARRIO DE FATIMA",BARRIO DE FATIMA,29260,SAN CRISTOBAL,CHIAPAS,07078090035,05/03/2014,"I, II, III, VACUNAS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"NADRO S.A.P.I. DE C.V. HOSPITAL 
GENERAL DE LA MUJER SAN 
CRISTOBAL",FARMACIA,"INT. DEL HOSPITAL GENERAL DE LA 
MUJER SAN CRISTOBAL, AV. 
INSURGENTE No. 24",COL. SANTA LUCIA,29250,"SAN CRISTOBAL DE 
LAS CASAS",CHIAPAS,07078090038,22/07/2015,"I, II, III, HEMODERIVADOS, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL, TOXOIDE Y VACUNAS"
"FARMACIA DISUR DE LA CLINICA 
HOSPITAL SAN CRISTOBAL DE LAS 
CASAS",FARMACIA,DIEGO DE MAZARIEGO No. 81,BARRIO DE LA MERCED,29040,"SAN CRISTOBAL DE 
LAS CASAS",CHIAPAS,07078090039,11/09/2015,"I, II, III, TOXOIDES, VACUNAS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR, SUCURSAL 
INSURGENTES S.C.L.C.",FARMACIA,AVENIDA INSURGENTES No. 48,COL. CENTRO,29240,"SAN CRISTOBAL DE 
LAS CASAS",CHIAPAS,07078090040,21/12/2015,"I, II, III, TOXOIDES, VACUNAS  Y HEMODERIVADOS"
"FARMACIA MI BODEGA AURRERA DEL 
CERRILLO",FARMACIA,AV. GENERAL UTRILLA No. 26,BARRIO ELCERRITO,29220,"SANCRISTOBAL DE 
LAS CASAS",CHIAPAS,07078090041,22/02/2016,"II, III,  VACUNAS,TOXOIDES , SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIBADOS"
"FARMACIA GUADALAJARA S.A. DE 
C.V.",FARMACIA,CALZADA DE LAS AMERICAS No. 18,COL. SAN DIEGO,29270,"SAN CRISTOBAL DE 
LAS CASAS",CHIAPAS,07078090046,08/06/2017,"II, III, VACUNAS, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
RAMON LARRAINZAR",FARMACIA,BLVD. PERIFERICO PONIENTE S/N,SAN RAMON,29240,"SAN CRISTOBAL DE 
LAS CASAS",CHIAPAS,07078090048,04/10/2017,"II, III, VACUNAS, SUEROS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL Y/O HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL SAN FERNANDO",FARMACIA,"CALLE CENTRAL SUR No.120, 
CENTRO",CENTRO,,SAN FERNANDO,CHIAPAS,07079090001,12/01/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA EL FENIX SILTEPEC,FARMACIA,"4a. NORTE S/N,",BARRIO LAS NUBES,,SILTEPEC,CHIAPAS,07080090001,25/11/2008,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DE LA UNIDAD DE 
MEDICINA FAMILIAR No.35",FARMACIA,"AV. CONSTITUCION ORIENTE Y 5 DE 
FEBRERO S/N, CENTRO",CENTRO,,SIMOJOVEL,CHIAPAS,07081090001,18/02/2002,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA INTRAHOSPITALARIA DEL 
HOSPITAL INTEGRAL SIMOJOVEL",FARMACIA,"AV. CONSTITUCION ORIENTE No.22,",BARRIO SAN JOSE,,SIMOJOVEL,CHIAPAS,07081090002,29/03/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"UNIDAD MEDICA FAMILIAR 
SIMOJOVEL",FARMACIA,"CALLE 24 DE FEBRERO NORTE No.7,",BARRIO SAN ANTONIO,,SIMOJOVEL,CHIAPAS,07081090003,29/03/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA SANTA MONICA,FARMACIA,"AV. INDEPENDENCIA No.15, CENTRO",CENTRO,,SIMOJOVEL,CHIAPAS,07081090006,10/10/2006,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA GUADALUPANA,FARMACIA,"AV. IGNACIO ALLENDE PONIENTE 
S/N",,,SIMOJOVEL,CHIAPAS,07081090007,15/01/2010,"II, III"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL SIMOJOVEL",FARMACIA,"CONSTITUCION ORIENTE No.5 COL. 
SAN ANTONIO",COL. SAN ANTONIO,29821,SIMOJOVEL,CHIAPAS,07081090009,09/12/2013,II Y III
"FARMACIA MI BODEGA AURRERA 
SIMOJOVEL",FARMACIA,"AVENIDA IGNACIO ALLENDE 
ORIENTE No. 126",COL. SAN JOSE,29821,SIMOJOVEL,CHIAPAS,07081090010,11/09/2015,"II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS"
"FARMACIA ALOPATICA DEL CENTRO 
DE SALUD RURAL",FARMACIA,"DOMICILIO CONOCIDO S/N, PAMALA 
PICOTE",,,SITALA,CHIAPAS,07082090001,15/11/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL CENTRO DE SALUD DE 
SANTA BARBARA",FARMACIA,"DOMICILIO CONOCIDO S/N, SANTA 
BARBARA",,,SITALA,CHIAPAS,07082090002,09/12/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA ALOPATICA DEL CENTRO 
DE SALUD",FARMACIA,"7a. AV. CUAUHTEMOC S/N, CENTRO",CENTRO,,SOCOLTENANGO,CHIAPAS,07083090001,08/07/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL IMSS UNIDAD 
MEDICA FAMILIAR No.5",FARMACIA,"CALLE CENTRAL PONIENTE ESQ. 3a. 
NORTE S/N, CENTRO",CENTRO,,SUCHIATE,CHIAPAS,07087090001,21/01/2002,S/L
"FARMACIAS ESQUIVAR SUC. CD. 
HIDALGO",FARMACIA,"1a. AV. NORTE, CENTRO",CENTRO,30840,SUCHIATE,CHIAPAS,07087090002,27/06/2005,"II, III"
"FARMACIA DEL CENTRO DE SALUD 
CIUDAD HIDALGO",FARMACIA,"3a. ORIENTE S/N, CENTRO; CIUDAD 
HIDALGO",,,SUCHIATE,CHIAPAS,07087090003,21/12/2006,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
MI BODEGA AURRERA CD. HIDALGO,FARMACIA,"1a. CALLE PONIENTE No.3, CD. 
HIDALGO",,,SUCHIATE,CHIAPAS,07087090004,04/11/2008,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
CIUDAD HIDALGO2",FARMACIA,"AVENIDA 1RA NORTE ESQUINA COM 
3 ORIENTE S/N",COL. CENTRO,30840,SUCHIATE,CHIAPAS,07087090005,28/03/2016,"II, III VACUNAS,TOXOIDES Y HEMODERIBADOS"
"TIENDAS CHEDRAUI, S.A. DE C.V.",FARMACIA,3 AVENIDA NORTE No. 22,COL. CENTRO,30840,SUCHIATE,CHIAPAS,07087090006,15/12/2016,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
1A. NORTE CD. HIDALGO",FARMACIA,1A. AVENIDA NORTE S/N,COL. CENTRO,30840,SUCHIATE,CHIAPAS,07087090007,16/12/2016,"I, II, III, VACUNAS Y TOXOIDES"
"FARMACIA ALOPATICA DE LA UNIDAD 
MEDICA FAMILIAR No.9",FARMACIA,"DOMICILIO CONOCIDO, FINCA 
MEXIQUITO",,,TAPACHULA,CHIAPAS,07088090001,22/09/2000,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DEL PUERTO,FARMACIA,"3a. CALLE PONIENTE Y 2a. AV. 
NORTE ESQ., CENTRO",CENTRO,,TAPACHULA,CHIAPAS,07089090001,08/04/2002,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL LAURELES TAPACHULA",FARMACIA,"AV. LAS PALMAS Y CALLE CIRUELOS 
MANZANA 6 LOTE 16,",FRACC. LOS LAURELES,,TAPACHULA,CHIAPAS,07089090002,08/04/2002,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA BODEGA AURRERA 
TAPACHULA",FARMACIA,"PROLONGACION DE LA 10a. SUR S/N,",CANTARRANAS,,TAPACHULA,CHIAPAS,07089090003,23/07/2003,"II, III"
FARMACIA ALOPATICA ESQUIVAR,FARMACIA,"CENTRAL ORIENTE No.58 ESQ. 9a. 
NORTE , CENTRO",CENTRO,30700,TAPACHULA,CHIAPAS,07089090004,04/07/2011,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA ALOPATICA EL YESO,FARMACIA,"3a. ORIENTE No.32-C, CENTRO",CENTRO,,TAPACHULA,CHIAPAS,07089090005,20/09/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA INTRAHOSPITALARIA DEL 
ISSSTE",FARMACIA,"AV. TUXTEPEC Y CALLE OAXACA, 
FRANCISCO VILLA",,,TAPACHULA,CHIAPAS,07089090006,23/07/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DE LA UNIDAD MEDICA 
FAMILIAR No.8",FARMACIA,"DOMICILIO CONOCIDO S/N, FINCA 
MARAVILLAS",,,TAPACHULA,CHIAPAS,07089090007,24/07/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
UNIVERSIDAD",FARMACIA,"4a. SUR S/N, CENTRO",CENTRO,30700,TAPACHULA,CHIAPAS,07089090009,12/08/2003,"I, II, III, VACUNAS Y TOXOIDES"
"FARMACIA DEL AHORRO SUCURSAL 
CADELATOS",FARMACIA,"17a. ORIENTE No.35  LOCAL C, D Y E, 
CENTRO",COL. CENTRO,30700,TAPACHULA,CHIAPAS,07089090010,11/08/2011,"I, II, III, VACUNAS Y TOXOIDES"
"FARMACIA DEL AHORRO SUCURSAL 
CENTRAL SUR",FARMACIA,"CENTRAL SUR No.93, CENTRO",CENTRO,30700,TAPACHULA,CHIAPAS,07089090011,12/08/2003,"I, II, III, VACUNAS Y TOXOIDES"
"FARMACIA DEL AHORRO SUCURSAL 
9a. SUR",FARMACIA,"9a. AV. SUR No. 41, CENTRO",CENTRO,30700,TAPACHULA,CHIAPAS,07089090012,12/08/2003,"I, II, III, VACUNAS Y TOXOIDES"
"FARMACIA DEL AHORRO SUCURSAL 
CENTRAL PONIENTE",FARMACIA,"CENTRAL PONIENTE No. 2, CENTRO",CENTRO,30700,TAPACHULA,CHIAPAS,07089090013,12/08/2003,"I, II, III, VACUNAS Y TOXOIDES"
"FARMACIA DEL AHORRO SUCURSAL 
LAURELES",FARMACIA,"AV. LAS PALMAS No.79, 
SEMINARISTA",COL. SEMINARISTA,30700,TAPACHULA,CHIAPAS,07089090014,13/08/2011,"I, II, III, VACUNAS Y TOXOIDES"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL CATEDRAL TAPACHULA",FARMACIA,"8a. AV. NORTE No.34, CENTRO",CENTRO,,TAPACHULA,CHIAPAS,07089090015,10/09/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA DE GENERICOS,FARMACIA,AV. CENTRAL NORTE No.56,CENTRO,,TAPACHULA,CHIAPAS,07089090016,31/10/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
17a. ORIENTE",FARMACIA,"CENTRAL NORTE  No.123, CENTRO",COL. CENTRO,30700,TAPACHULA,CHIAPAS,07089090017,24/10/2013,"I, II, III, VACUNAS Y TOXOIDES"
"FARMACIA DEL AHORRO SUCURSAL 
10a. NORTE",FARMACIA,"10a. NORTE No. 30, CENTRO",CENTRO,30700,TAPACHULA,CHIAPAS,07089090018,03/11/2003,"I, II, III, VACUNAS Y TOXOIDES"
"FARMACIA DEL AHORRO SUCURSAL 
5a. PONIENTE",FARMACIA,"5a. PONIENTE S/N, CENTRO",COL. CENTRO,30700,TAPACHULA,CHIAPAS,07089090019,24/10/2013,"I, II, III, VACUNAS Y TOXOIDES"
HOSPITAL GENERAL DE ZONA No.1,FARMACIA,"CARRETERA COSTERA Y ANILLO 
PERIFERICO S/N, CENTRO",CENTRO,,TAPACHULA,CHIAPAS,07089090020,04/12/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
13a. SUR",FARMACIA,"13a. SUR No.208, CENTRO",CENTRO,30700,TAPACHULA,CHIAPAS,07089090022,15/01/2004,"I, II, III, VACUNAS Y TOXOIDES"
"FARMACIA DEL AHORRO SUCURSAL 
6a. NORTE",FARMACIA,"6a. NORTE No.35, CENTRO",CENTRO,30700,TAPACHULA,CHIAPAS,07089090023,15/01/2004,"I, II, III, VACUNAS Y TOXOIDES"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUC. MDO. SAN SEBASTIAN",FARMACIA,"10a. AV. NORTE No.31, CENTRO",CENTRO,30700,TAPACHULA,CHIAPAS,07089090024,19/04/2004,"II, III"
