CLÍNICA SAN JERÓNIMO,FARMACIA,"FRAY TORIBIO DE BENAVENTE 
N° 43",SAN JERÓNIMO CALERAS,72100,Puebla,PUEBLA,1061142112,06/02/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,"AV. REFORMA AGUA AZUL N° 
1717 LOCAL 1",REFORMA AGUA AZUL,72430,Puebla,PUEBLA,1061142113,10/02/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"CHRISTUS MUGUERZA SISTEMAS HOSPITALARIOS,S.A.DE C.V. 
SUC. HOSPITAL BETANIA",FARMACIA,11 ORIENTE N° 1826,AZCARATE,72501,Puebla,PUEBLA,1061142114,11/02/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMADROGUERÍA MEDINA,FARMACIA,INDEPENDENCIA N° 155-A,CHAPULTEPEC,72310,Puebla,PUEBLA,1061142115,24/02/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
UNIDAD DE MEDICINA GENERAL ISSSTE,FARMACIA,CARRETERA ZACATLÁN N° 1,CENTRO,73300,Zacatlan,PUEBLA,1020552116,03/03/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
UNIDAD DE MEDICINA FAMILIAR ISSSTE,FARMACIA,CONSTITUCIÓN DE 1917 N° 9,CENTRO,73310,Chignahuapan,PUEBLA,1022082117,03/03/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SANTA SOFÍA,FARMACIA,13 ORIENTE N° 1604-1,AZCARATE,72501,Puebla,PUEBLA,1061142118,07/03/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
UNIDAD DE MEDICINA FAMILIAR DE CUETZALAN,FARMACIA,CALZADA ZARAGOZA N° 34,CENTRO,73560,Cuetzalan del Progreso,PUEBLA,1030452120,20/03/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"INTERCONTINENTAL DE MEDICAMENTOS, S.A. DE C.V. 
FARMACIA H.G. DE CHOLULA",FARMACIA,OSA MENOR N° 2-A,RESERVA TERRITORIAL ATLIXCAYOTL,72830,Tehuacan,PUEBLA,1051202122,24/03/2014,"GRUPOI,  II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SANTA FE,FARMACIA,AV. TABASCO N° 142-A,CENTRO,75680,Tlacotepec de Benito Juárez,PUEBLA,1101772123,04/04/2014,II Y III
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,"7 ORIENTE CARRETERA 
FEDERAL PUEBLA-TEHUACAN 
N° 416",CHACHAPA,72990,Amozoc,PUEBLA,1090152124,04/04/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,CARRETERA A NAUTLA N° 150,Bo. CHIGNAULINGO,73820,Teziutlan,PUEBLA,1031742125,16/04/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,"FORJADORES DE PUEBLA N° 
604",CENTRO,72810,San Pedro Cholula,PUEBLA,1051412126,16/04/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"CLÍNICA DE MEDICINA FAMILIAR + CESIS + MODULO DE 
URGENCIAS SOR MARÍA SUÁREZ VÁZQUEZ",FARMACIA,PINO SUÁREZ N° 25,SANTA MARÍA LA RIVERA,72150,Puebla,PUEBLA,1061142127,16/04/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"INTERCONTINENTAL DE MEDICAMENTOS, S.A. DE C.V. / 
FARMACIA H.G. TEZIUTLAN",FARMACIA,BUGAMBILIAS N° 7-A,S/C,73800,Teziutlan,PUEBLA,1031742129,23/04/2014,"GRUPO I, II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
"CENTRO DE SALUD CON SERVICIOS AMPLIADOS (CESSA) 
TEHUACAN",FARMACIA,"CIRCUITO INTERIOR NORTE 
N° 3807, BLVD. SOCORRO 
ROMERO SÁNCHEZ",SANTA CLARA,75550,Tehuacan,PUEBLA,1101562130,02/05/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"CENTRO DE SALUD CON SERVICIOS AMPLIADOS (CESSA) 
ALCOMUNGA",FARMACIA,"CARRETERA ALCOMUNGA-
ELOXOCHITLAN S/N.",CENTRO,75910,Alcomunga,PUEBLA,1100102131,02/05/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"INTERCONTINENTAL DE MEDICAMENTOS, S.A. DE C.V. 
FARMACIA H.G. ACATLAN DE OSORIO",FARMACIA,"CARRETERA INTERNACIONAL 
MÉXICO-OAXACA S/N-A",LA PALMA,74949,Acatlán,PUEBLA,1080032132,06/05/2014,"I, II Y III, BIOLOGICOS Y HEMODERIVADOS"
PRODUCTOS MÉDICOS PARA LA SALUD FARMA DEPOT,FARMACIA,13 SUR N° 2510 LOCAL 2-A,VOLCANES,72410,Puebla,PUEBLA,1061142135,06/05/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
PRODUCTOS MÉDICOS PARA LA SALUD FARMA DEPOT,FARMACIA,DE LA NIÑEZ N° 20,CONCEPCIÓN LA CRUZ,72197,Puebla,PUEBLA,1061142136,06/05/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DEL CENTRO MÉDICO QUIRÚRGICO DE LA 
MIXTECA",FARMACIA,6 SUR N° 1,AMATITLÁN DE AZUETA,74940,Acatlán,PUEBLA,1080032137,06/05/2014,PSICOTRÓPICOS GRUPOS II Y III
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,"CAMINO REAL CHOLULA 
MOMOXPAN N° 2221 L-8-12",SANTIAGO MOMOXPAN,72810,San Pedro Cholula,PUEBLA,1051412139,09/05/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"CENTRO DE SALUD CON SERVICIOS AMPLIADOS (CESSA) 
XICOTEPEC",FARMACIA,AVENIDA JUÁREZ N° 270,MI RANCHITO,73080,Xicotepec de Juarez,PUEBLA,1011972140,16/05/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,BOULEVARD NORTE N° 1118,20 DE NOVIEMBRE,72230,Puebla,PUEBLA,1061142141,20/05/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
CLÍNICA MATERNIDAD QUIROGA (FARMACIA),FARMACIA,ALLENDE N° 148-A,CENTRO,73080,Xicotepec de Juarez,PUEBLA,1011972142,27/05/2014,PSICOTRÓPICOS GRUPOS II Y III
"CLÍNICA DE ESPECIALIDADES NUESTRA SEÑORA DE LOS 
ANGELES, A.C.",FARMACIA,MORELOS N° 6-A,SAN JERONIMO CALERAS,72100,Puebla,PUEBLA,1061142143,29/05/2014,PSICOTRÓPICOS GRUPOS II Y III
FARMACIA CRUZ DE VIDA,FARMACIA,9 ORIENTE N° 1620-A,AZCARATE,72501,Puebla,PUEBLA,1061142144,29/05/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS DEL CARMEN,FARMACIA,"PROLONGACIÓN 11 SUR N° 
11327 LOCAL A",SAN FRANCISCO MAYORAZGO,72490,Puebla,PUEBLA,1061142145,30/05/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
HOSPITAL INTEGRAL CUACNOPALAN,FARMACIA,"AV. MELCHOR OCAMPO N° 
817",SEGUNDA SECCION,75515,Cuacnopalan,PUEBLA,1091122146,30/05/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
CLÍNICA Y MATERNIDAD PARIS,FARMACIA,3 SUR N° 703-B,CENTRO,72760,San Pedro Cholula,PUEBLA,1051412147,03/06/2014,GRUPO I Y II
FARMACIAS DEL AHORRO,FARMACIA,AV. 2 ORIENTE N° 2207,LOS REMEDIOS,72377,Puebla,PUEBLA,1061142148,03/06/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMADROGUERIA MEDINA, S.A. DE C.V.",FARMACIA,AV. JUAREZ N° 3116,LA PAZ,72160,Puebla,PUEBLA,1061142149,10/06/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,AV. 31 PONIENTE N° 2709,BENITO JUAREZ,72014,Puebla,PUEBLA,1061142150,10/06/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"CLINICA LOREN'S DE PUEBLA, S.A.",FARMACIA,"VENUSTIANO CARRANZA N° 
403",SAN BALTAZAR CAMPECHE,72550,Puebla,PUEBLA,1061142151,10/06/2014,GRUPO II Y III
FARMACIA CASTILLO,FARMACIA,DOROTEO ARANGO N° 40-B,AMPLIACION MOMOXPAN,72760,San Pedro Cholula,PUEBLA,1051412152,17/06/2014,GRUPO II Y III
UNIDAD DE MEDICINA FAMILIAR CHOLULA,FARMACIA,"AVENIDA TECNOLOGICO N° 
1208",SAN CRISTOBAL TEPONTLA,72765,San Pedro Cholula,PUEBLA,1051412153,25/06/2014,GRUPO II Y III
FARMACIA PYRAMEDIC,FARMACIA,27 PONIENTE N° 318,CHULA VISTA,72420,Puebla,PUEBLA,1061142154,30/06/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
HOSPITAL INTEGRAL DE COXCATLÁN,FARMACIA,"KM. 42 CARRETERA 
TEHUACÁN-TEOTITLÁN",DONATO BRAVO IZQUIER,75980,Coxcatlán,PUEBLA,1100372155,04/07/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"DERMATOLOGICA ANGELOPOLIS, S. DE R.L.",FARMACIA,"BOULEVARD FORJADORES N° 
3401-14",SAN DIEGO LOS SAUCES,72760,San Pedro Cholula,PUEBLA,1051412156,15/07/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,REVOLUCIÓN N° 19,LA TRINIDAD SANCTORUM,72730,Cuautlancingo,PUEBLA,1050432157,22/07/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,NIÑO PERDIDO N° 51,CENTRO,74400,Izucar de Matamoros,PUEBLA,1070872158,28/07/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,3 ORIENTE N° 340-D,CENTRO,75700,Tehuacán,PUEBLA,1101562159,28/07/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,"BLVD. NORTE HEROES DEL 5 
DE MAYO Nº 2207 LOCAL 2",VALLE DORADO,72070,Puebla,PUEBLA,1061142160,28/07/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA BODEGA AURRERA REFORMA SUR,FARMACIA,"BLVD. JOSÉ MARÍA MORELOS 
Y PAVÓN N° 1700",XOCHIPILLI,75770,Tehuacán,PUEBLA,1101562161,28/07/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
CLÍNICA MÉDICA SARABIA,FARMACIA,14 ORIENTE N° 139,FRANCISCO SARABIA,75730,Tehuacán,PUEBLA,1101562162,28/07/2014,GRUPO II Y III
CLÍNICA SAN GABRIEL,FARMACIA,2 NORTE N° 203,CENTRO,72990,Amozoc,PUEBLA,1090152163,28/07/2014,GRUPO II Y III
FARMACIAS DEL AHORRO,FARMACIA,"INDEPENDENCIA ORIENTE N° 
137",CENTRO,75700,Tehuacán,PUEBLA,1101562164,29/07/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA HOSPITAL GENERAL DE LIBRES,FARMACIA,14 SUR N° 1104,BARRIO DE TETELA,73784,Libres,PUEBLA,1040972165,29/07/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"CENTRO DE SALUD CON SERVICIOS AMPLIADOS DE 
TLACHICHUCA",FARMACIA,"BLVD. FRANCISCO I. MADERO 
S/N",CENTRO,75050,Tlachichuca,PUEBLA,1041792166,07/08/2014,"GRUPO I, II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
HOSPITAL GENERAL DE TLATLAUQUI,FARMACIA,"COMUNIDAD DE TOCHIMPA 
SECCIÓN 6 S/N",TOCHIMPA,73900,Tlatlauquitepec,PUEBLA,1031862167,07/08/2014,"GRUPO I, II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,AV. VALSEQUILLO N° 106,PUESTA DEL SOL,75760,Tehuacán,PUEBLA,1101562168,20/08/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"BIOLOGICOS ESPECIALIZADOS, S.A. DE C.V.",FARMACIA,"BLVD. ATLIXCAYOTL N° 3248
LOCAL 109-110",EX - HDA. SAN MARTINITO,72820,San Andrés Cholula,PUEBLA,1051202169,20/08/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA LA PAZ,FARMACIA,CALLE 11 SUR N° 2507 INT. A,CHULA VISTA,72420,Puebla,PUEBLA,1061142170,25/08/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMADROGUERÍA MEDINA,FARMACIA,AV. LIBERTAD N° 401,CENTRO,74200,Atlixco,PUEBLA,1050202171,25/08/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA MÉDICA BARIÁTRICA,FARMACIA,PRIVADA 7-A SUR N° 5730,VILLA ENCANTADA,72440,Puebla,PUEBLA,1061142173,08/09/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,MORELOS ORIENTE N° 111,CENTRO,74000,"San Martín
Texmelucan",PUEBLA,1051332174,08/09/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,PARQUE HIDALGO  N° 2,CENTRO,74000,"San Martín
Texmelucan",PUEBLA,1051332175,08/09/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,LIBERTAD SUR N° 401,CENTRO,74000,"San Martín
Texmelucan",PUEBLA,1051332176,08/09/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,JUÁREZ PONIENTE N° 115,CENTRO,74000,"San Martín
Texmelucan",PUEBLA,1051332177,08/09/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIAS LIFESTYLE, S.A. DE C.V.",FARMACIA,9 ORIENTE N° 2404-5,RANCHO AZCARATE,72501,Puebla,PUEBLA,1061142178,12/09/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
FARMACIA EL PASTILLERO,FARMACIA,PORTAL JUÁREZ N° 4,CENTRO,73100,Pahuatlan,PUEBLA,1011112179,19/09/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ECOPHARMA,FARMACIA,2 NORTE N° 6-B,CENTRO,72810,San Andres Cholula,PUEBLA,1051202180,01/10/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,IGNACIO ALLENDE N° 508,CENTRO,73800,Teziutlan,PUEBLA,1031742181,01/10/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
HOSPITAL GENERAL DE HUEJOTZINGO,FARMACIA,"CARRETERA MÉXICO-PUEBLA 
KM. 91+700",EX - HDA. DE SAN JOSÉ MUNIVE,74160,Huejotzingo,PUEBLA,1050772183,17/10/2014,"GRUPO I, II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
UNIDAD MEDICA 2000,FARMACIA,ALVARO OBREGON N° 10,CENTRO,75680,"Tlacotepec de
Benito Juárez",PUEBLA,1101772184,21/10/2014,II Y III
"INTERCONTINENTAL DE MEDICAMENTOS, S.A DE C.V. 
FARMACIA HOSPITAL GENERAL HUEJOTZINGO",FARMACIA,"CARRETERA MÉXICO-PUEBLA 
KM. 91+700",EX - HDA. DE SAN JOSÉ MUNIVE,74160,Huejotzingo,PUEBLA,1050772185,21/10/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACENTER,FARMACIA,13 ORIENTE N° 1629-A,AZCARATE,72501,Puebla,PUEBLA,1061142187,28/10/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
HOSPITAL NUESTRA SEÑORA DE LOS DOLORES,FARMACIA,7 ORIENTE N° 6,CENTRO,75150,Acatzingo,PUEBLA,1090042188,28/10/2014,II Y III
"INTERCONTINENTAL DE MEDICAMENTOS, S.A. DE C.V. H.G. 
TLATLAUQUITEPEC",FARMACIA,"Carretera Amozoc-Teziutlán 
Km. 130-A, Tochimpa, 
Tlatlauquitepec, Pue. C.P.
73900",SIN COLONIA,73900,Tlatlauquitepec,PUEBLA,1031862189,12/11/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A.
DE C.V.",FARMACIA,AV. 4 SUR N° 714,BARRIO DE TETELA,73780,Libres,PUEBLA,1040972190,12/11/2014,"II Y III, BIOLOGICOS Y HEMODERIVADOS"
CEFAM / PUEBLA,FARMACIA,"BLVD. ATLIXCAYOTL N° 5208, 
TORRE JV 3 PISO 4",UNIDAD TERRITORIAL,72810,Puebla,PUEBLA,1061142192,12/11/2014,II Y III
FARMACIA DERMATOLÓGICA BEAUTY SKIN,FARMACIA,LIBERTAD SUR N° 208-B,CENTRO,74000,"San Martín
Texmelucan",PUEBLA,1051332193,20/11/2014,II
CLÍNICA RÍOS,FARMACIA,DOMINGO ARENAS N° 6,CENTRO,74125,"San Martín
Texmelucan",PUEBLA,1051332194,20/11/2014,II Y III
PAZ Y SALUD,FARMACIA,16 DE SEPTIEMBRE N° 6149,BUGAMBILIAS,72440,Puebla,PUEBLA,1061142195,20/11/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
CLÍNICA MÉDICO INTEGRAL JUQUILITA,FARMACIA,"FRANCISCO I, MADERO N° 
510
B",CENTRO,75150,Acatzingo,PUEBLA,1090042196,20/11/2014,II Y III
CLÍNICA MÉDICA INTEGRAL GONZÁLEZ,FARMACIA,DIVISIÓN DEL NORTE N° 9,LA CIENEGA,74125,"San Martín
Texmelucan",PUEBLA,1051332197,20/11/2014,II Y III
FARMACIAS DEL AHORRO,FARMACIA,AV. CUAUHTEMOC S/N,CENTRO,73800,Teziutlán,PUEBLA,1031742198,01/12/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA JUQUILA,FARMACIA,BENITO JUÁREZ N° 21,CENTRO,73300,Chignahuapan,PUEBLA,1020542199,09/12/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"CLÍNICA DE ESPECIALIDADES MÉDICO QUIRÚRGICAS SAN 
PEDRO",FARMACIA,3 SUR N° 1706,ÁLVARO OBREGÓN,74260,Atlixco,PUEBLA,1050202200,09/12/2014,II Y III
FARMACIA EXPRESS,FARMACIA,CENTENARIO N° 1,CENTRO,74400,Izucar de Matamoros,PUEBLA,1070872201,10/12/2014,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
CENTRO MÉDICO SAN JUDAS TADEO,FARMACIA,FRANCISCO I. MADERO N° 9,CENTRO,73040,Venustiano Carranza,PUEBLA,1011942202,10/12/2014,II Y III
FARMACIAS DEL AHORRO,FARMACIA,"INDEPENDENCIA N° 102 
LOCAL A",CENTRO,74200,Atlixco,PUEBLA,1050202203,10/12/2014,"II Y III, BIOLOGICOS Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,PORTAL MUJICA N° 2,CENTRO,74940,Acatlán,PUEBLA,108032204,10/12/2014,"II Y III, BIOLOGICOS Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,"AV. MANUEL AVILA 
CAMACHO N° 303",CENTRO,74200,Atlixco,PUEBLA,1050202205,10/12/2014,"II Y III, BIOLOGICOS Y HEMODERIVADOS"
FARMACIA HOSPITALARIA GEMA,FARMACIA,"1ER. ANDADOR 7-B NORTE 
EDIFICIO A-1 B",SAN PEDRO,72210,Puebla,PUEBLA,1061142206,15/12/2014,"II Y III, BIOLOGICOS Y HEMODERIVADOS"
HOSPITAL GENERAL DE TEZIUTLAN,FARMACIA,CALLE BUGAMBILIAS N° 7,XOLOATENO,73800,Teziutlán,PUEBLA,1031742207,12/01/2015,"I, II Y III, BIOLOGICOS Y HEMODERIVADOS"
UNIDAD CLÍNICA LOS ANGELES,FARMACIA,3 NORTE N° 10,CENTRO,75170,Gral. Felipe Angeles,PUEBLA,1040662208,12/01/2015,II Y III
FARMACIA DERMATOLÓGICA BEAUTY SKIN,FARMACIA,9 SUR N° 3719,GABRIEL PASTOR,72420,Puebla,PUEBLA,1061142209,12/01/2015,GRUPO II
HOSPITAL DEL ANGEL,FARMACIA,HIDALGO N° 606,CENTRO,75200,Tepeaca,PUEBLA,1091642210,12/01/2015,II Y III
"UNIDAD DE SERVICIOS MÉDICO QUIRÚRGICO CLÍNICA 
YUNUEN",FARMACIA,"AVENIDA 114-A PONIENTE N° 
4718",LOMAS DE SAN JERÓNIMO,72100,Puebla,PUEBLA,1061142212,15/01/2015,II Y III
MÉDICA NORTE HOSPITAL,FARMACIA,"AV. 16 DE SEPTIEMBRE N° 
1231",BARRIO EL CALVARIO,75150,Acatzingo,PUEBLA,1090042213,15/01/2015,II Y III
RAMA MÉDICA,FARMACIA,13  PONIENTE N° 1303,CENTRO,72000,Puebla,PUEBLA,1061142214,15/01/2015,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA EL CARMEN DE CHOLULA, S.A. DE C.V.",FARMACIA,6 PONIENTE N° 502,CENTRO,72760,San Pedro Cholula,PUEBLA,1051412215,15/01/2015,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA BODEGA AURRERA AVENIDA DE LAS TORRES,FARMACIA,"BOULEVARD MUNICIPIO 
LIBRE N° 501-A",JARDIN,72474,Puebla,PUEBLA,1061142216,15/01/2015,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMADROGUERIA MEDINA, S.A. DE C.V.",FARMACIA,"PASEO SINFONIA N° 1 LOCAL 
8 Y 21   TOWN CENTER",LOMAS DE ANGELOPOLIS,72830,San Andres Cholula,PUEBLA,1051202217,15/01/2015,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS LABARDINI,FARMACIA,AV. LABASTIDA N° 78-A,OJO DE AGUA,74099,San Martin Texmelucan,PUEBLA,1051332219,22/01/2015,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA ALEXANDER FLEMING SUC. MOMOXPAN,FARMACIA,"BOULEVARD FORJADORES DE 
PUEBLA N° 105",AMPLIACIÓN MOMOXPAN,72760,San Pedro Cholula,PUEBLA,1051412220,29/01/2015,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA WAL MART SUPERCENTER 15  DE MAYO,FARMACIA,AV. 15 DE MAYO N° 4540,ZONA CEMENTOS ATOYAC,72023,Puebla,PUEBLA,1061142221,10/02/2015,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,"LATERAL VÍA ATLIXCAYOTL N° 
5423 LOCAL 18",SAN BERNANDINO TLAXCALANCINGO,72820,San Andrés Cholula,PUEBLA,1051202222,10/02/2015,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA NUESTRO SEÑOR DE LAS MARAVILLAS,FARMACIA,"JOSÉ MARÍÁ MORELOS Y 
PAVÓN  N° 17",SECCIÓN SÉPTIMA,72900,Puebla,PUEBLA,1061142223,10/02/2015,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"UNIDAD HOSPITALARIA AMALUCAN, S.C.",FARMACIA,BLVD. XONACATEPEC N° 1895,INFONAVIT MANUEL RIVERA ANAYA,72309,Puebla,PUEBLA,1061142224,13/02/2015,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
HOSPITA GENERAL HUAUCHINANGO,FARMACIA,CALLE INI N° 7,FSTSE,73177,Huauchinango,PUEBLA,1010732225,16/02/2015,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
HOSPITAL GENERAL DE CUETZALAN,FARMACIA,"CARRETERA CUETZALAN-
ZACAPOAXTLA KM. 2",PAHAPATAPAN,73560,Cuetzalan del Progreso,PUEBLA,1030452226,16/02/2015,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
UNIDAD DE ONCOLOGÍA DE LOS S.S.E.P.,FARMACIA,"ANTIGUO CAMINO A 
GUADALUPE HIDALGO N° 
11350",AGUA SANTA,72490,Puebla,PUEBLA,1061142227,16/02/2015,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
HOSPITAL INTEGRAL COMUNITARIO TLAOLA,FARMACIA,CORREGIDORA S/N,CENTRO,0,Tlaola,PUEBLA,1011832228,16/02/2015,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
