ESTABLECIMIENTO,"GIRO 
(FARMACIA 
BOTICA, 
DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO     
POSTAL",MUNICIPIO,ENTIDAD,NO. LICENCIA,"FECHA 
EXPEDICION","LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
FARMACIA KARINA,FARMACIA,BRAVO Y 2do. CENTENARIO # 520,CENTRO,87600,SAN FERNANDO,TAMAULIPAS,28035090001,13/11/03,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
"FARMACIALACADENASUC.PUREXSANFERNANDO
N. 3",FARMACIA,AVE. RUIZ CORTINES Y MORELOS # 106,CENTRO,87600,SAN FERNANDO,TAMAULIPAS,28035090015,30/05/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA MEDICINA ESPECIALIZADA,FARMACIA,CARR. MATAMOROS C/CANALES,CENTRO,87600,SAN FERNANDO,TAMAULIPAS,28035090012,25/10/06,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA MI BODEGA AURRERA SAN FERNANDO,FARMACIA,AV. RUIZ CORTINEZ NO. 302,CENTRO,87600,SAN FERNANDO,TAMAULIPAS,28035090016,25/02/08,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIAS PUREX SUC. HOSPITAL,FARMACIA,CARR. A MATAMOROS S/N ENTRE PINO SUAREZ Y RUIZ CORTINEZ,ZONA CENTRO,87600,SAN FERNANDO,TAMAULIPAS,28035090025,09/12/13,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA RIOS,FARMACIA,JUAREZ Y J. J. DE LA GARZA,CENTRO,88890,BURGOS,TAMAULIPAS,28005090001,14/03/02,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA RUBI DE TAMPICO SUC. SAN FERNANDO,FARMACIA,CARR. VICTORIA-MATAMOROS KM. 110 S/N,LOMA ALTA,87605,SAN FERNANDO,TAMAULIPAS,28035090009,05/12/05,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA VALLEJO,FARMACIA,HIDALGO / CONSTITUCION E INDEPENDENCIA,,87600,SAN FERNANDO,TAMAULIPAS,28035090004,04/03/04,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. TULA,FARMACIA,HIDALGO # 4,CENTRO,87900,TULA,TAMAULIPAS,28039090004,10/04/07,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
CENTRO DE SALUD URBANO U-02 JAUMAVE,FARMACIA,"ALVAROOBREGONNO.540ENTREIGNACIOALLENDEEIGNACIO
ZARAGOZA",COLONIA JAUMAVE CENTRO,87930,JAUMAVE,TAMAULIPAS,2807090005,18/06/18,PSICOTROPICOS
FARMACIA HOSPITAL INTEGRAL REGIONAL JAUMAVE,FARMACIA,PEDRO J. MENDEZ # 578 E/ZARAGOZA Y ALLENDE,CENTRO,87930,JAUMAVE,TAMAULIPAS,28017090002,07/07/08,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
"FARMACIA HOSPITAL RURAL 032 IMSS
OPORTUNIDADES",FARMACIA,AVE. ENRIQUE CARDENAS GONZALEZ # 14,JICOTE,87900,TULA,TAMAULIPAS,28039090002,13/11/03,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA ISSSTE,FARMACIA,RAYON S/N,BARRIO LAS PIEDRAS,87900,TULA,TAMAULIPAS,28041090054,27/02/06,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACAIS REX. DE MATEHUALA SUC. TULA,FARMACIA,JUAREZ NO. 17-3,ZONA CENTRO,87900,TULA,TAMAULIPAS,28039090005,03/03/09,"ESTUPEFACIENTES, PSICOTROPICOS,VACUNAS, TOXOIDES, 
SUEROS,ANTIOXIDANTES Y HEMODERIVADOS"
FARMACIA SAN ANTONIO,FARMACIA,AVENIDA ENRIQUE CARDENAS GONZALEZ NO. 31,BARRIO EL JICOTE,87900,TULA,TAMAULIPAS,28039090006,31/10/17,PSICOTROPICOS
FARMACIA SANTANDER JAUMAVE,FARMACIA,OBREGON # 443,CENTRO,87930,JAUMAVE,TAMAULIPAS,28017090001,08/05/08,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA AHORRAMAX,FARMACIA,BELISARIO DOMINGUEZ N. 101-2 E/MATAMOROS Y CO,CENTRO,88440,CAMARGO,TAMAULIPAS,28007090025,24/11/10,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA AHORRAMAX,FARMACIA,"HIDALGO Y LOPEZ MATEOS,",ZONA CENTRO,88400,"GUSTAVO DIAZ
ORDAZ",TAMAULIPAS,28015090009,03/12/12,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA ALEX,FARMACIA,M.B. GUERRA # 201,CENTRO,88390,MIER,TAMAULIPAS,28024090002,24/05/05,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA AURORA,FARMACIA,CUARTA # 237 NTE.,CENTRO,88300,MIGUEL ALEMAN,TAMAULIPAS,28025090009,24/05/05,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA AZTECA,FARMACIA,CARR. RIO GRANDE KM. 6,CUAUHTEMOC,88442,CAMARGO,TAMAULIPAS,28007090018,28/08/06,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA AZTECA,FARMACIA,CARR. RIO GRANDE KM.1,CENTRO,88440,CAMARGO,TAMAULIPAS,28007090021,01/02/07,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. CAMARGO,FARMACIA,LIBERTAD S/N,CENTRO,88440,CAMARGO,TAMAULIPAS,28007090023,17/05/07,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. SAN MIGUEL,FARMACIA,BOULEVARD HIDALGO # 101,CENTRO,88400,GUSTAVO DIAZ,TAMAULIPAS,28015090005,17/05/07,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. DIAZ ORDAZ,FARMACIA,AVE. HIDALGO # 501,CENTRO,88400,GUSTAVO DIAZ,TAMAULIPAS,28015090006,17/05/07,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. RIBEREÑA,FARMACIA,AVE. HIDALGO NO. 412,ZONA CENTRO,88300,MIGUEL ALEMAN,TAMAULIPAS,28025090013,20/06/07,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. MIGUEL ALEMAN,FARMACIA,HIDLAGO NO. 338,ZONA CENTRO,88300,MIGUEL ALEMAN,TAMAULIPAS,28025090014,20/06/07,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA BIOS,FARMACIA,BLVD. JAIME RAMIREZ # 119,EDUCACION,88306,MIGUEL ALEMAN,TAMAULIPAS,28025090008,24/05/05,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA CAMARGO,FARMACIA,LIBERTAD # 106,CENTRO,88440,CAMARGO,TAMAULIPAS,28007090020,28/11/06,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA CLINICA HOSPITAL SANTA ANA,FARMACIA,LIBERTAD E/CAPITAN AGUILAR,CENTRO,88440,CAMARGO,TAMAULIPAS,28007090009,05/08/03,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA DE LA JURISDICCION SANITARIA NO. IX,FARMACIA,CALLE PRIMERA CON FRANCISCO I. MADERO NO. 302,ZONA CENTRO,88300,MIGUEL ALEMAN,TAMAULIPAS,28025090032,07/06/18,PSICOTROPICOS
FARMACIA DEL CENTRO,FARMACIA,B.DOMINGUEZ PASAJE COMERCIAL LOC. # 6,CENTRO,88440,CAMARGO,TAMAULIPAS,28007090006,05/09/02,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA DIANA,FARMACIA,AVE. HIDALGO # 115,ZONA CENTRO,88400,GUSTAVO DIAZ,TAMAULIPAS,28015090011,17/10/17,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA DIANA,FARMACIA,LIBERTAD # 101 SUR,CENTRO,88440,CAMARGO,TAMAULIPAS,28007090022,17/05/07,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA ERIKA,FARMACIA,LIBERTAD Y OAXACA # 549,CENTRO,88440,CAMARGO,TAMAULIPAS,28007090007,28/07/03,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA EMMANUEL,FARMACIA,"CALLECONSTITUCIONNO.201ENTRELIBERTADYBELISARIO
DOMINGUEZ",ZONA CENTRO,88440,CAMARGO,TAMAULIPAS,28007090026,14/02/17,PSICOTROPICOS
FARMACIA EXPRESS,FARMACIA,"MANUELHINOJOSANO.832ENTRE16DESEPTIEMBREY1DE
MAYO",ZONA CENTRO,88300,MIGUEL ALEMAN,TAMAULIPAS,28025090031,13/04/18,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA FLORES,FARMACIA,CUARTA # 104,CENTRO,88300,MIGUEL ALEMAN,TAMAULIPAS,28025090003,14/07/03,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA GI,FARMACIA,EMILIANO ZAPATA NO. 101 ENTRE QUINTA Y SEXTA,ZONA CENTRO,88300,MIGUEL ALEMAN,TAMAULIPAS,28025090024,09/07/14,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA GUADALAJARA S.A. DE C.V.,FARMACIA,CALLE HIDALGO SUR NO. 300,ZONA CENTRO,88400,"GUSTAVO DIAZ
ORDAZ",TAMAULIPAS,28015090010,04/08/17,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA GUADALAJARA SUC. ALTAMIRANO,FARMACIA,IGNACIO M. ALTAMIRANO # 111,EDUCACION,83306,MIGUEL ALEMAN,TAMAULIPAS,28025090018,01/09/09,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA GUADALAJARA SUC. MIGUEL ALEMAN,FARMACIA,CALLE CUARTA NO. 290 OTE.,ZONA CENTRO,88300,MIGUEL ALEMAN,TAMAULIPAS,28025090015,03/04/08,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA GUANAJUATO,FARMACIA,LIBERTAD S/N,CENTRO,88440,CAMARGO,TAMAULIPAS,28007090014,28/11/05,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA HINOJOSA,FARMACIA,MORELOS # 906 SUR,CENTRO,88390,MIER,TAMAULIPAS,28024090003,22/07/05,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA HOSPITAL DE SUB ZONA NO. 17,FARMACIA,DIF NO. 255 ENTRE JUAN ESCUTIA Y NIÑOS HEROES,COL. NINOS HEROES,88300,MIGUEL ALEMAN,TAMAULIPAS,28025090021,07/10/13,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA HOSPITAL INTEGRAL DE MIGUEL ALEMAN,FARMACIA,LIBRAMIENTO LAZARO CARDENAS DEL RIO NO. 333,COL. AMERICO VILLARREAL,88300,MIGUEL ALEMAN,TAMAULIPAS,28025090029,23/08/17,"ESTUPEFACIENTES Y PSICOTROPICOS, VACUNAS, TOXOIDES, 
SUEROS,ANTIOXIDANTES Y HEMODERIVADOS"
"FARMACIAINSTITUTOMEXICANODELSEGURO
SOCIAL",FARMACIA,OCTAVA S/N,ZONA CENTRO,88300,MIGUEL ALEMAN,TAMAULIPAS,28025090028,24/01/17,PSICOTROPICOS
FARMACIA LA SALUD,FARMACIA,MACARIO RAMIREZ # 607,GUADALUPE,83304,MIGUEL ALEMAN,TAMAULIPAS,28025090012,29/01/07,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA LUZ,FARMACIA,HIDALGO # 904 SUR,CENTRO,88390,MIER,TAMAULIPAS,28024090001,15/01/02,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA LUX,FARMACIA,AVE. HIDALGO # 223,CENTRO,88300,MIGUEL ALEMAN,TAMAULIPAS,28025090004,14/07/03,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA MEDICAL,FARMACIA,ATOYAC #637-B,CENTRO,88440,CAMARGO,TAMAULIPAS,28007090010,23/10/03,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
"FARMACIAMIBODEGAAURRERACD.MIGUEL
ALEMAN",FARMACIA,BLVD. MIGUEL ALEMAN # 1111,COL. HERCILIA,88306,MIGUEL ALEMAN,TAMAULIPAS,28025090030,15/12/17,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA MI SALUD,FARMACIA,CALLE TERCERA N°278 ENTRE CUARTA Y SEGUNDA,CENTRO,88300,MIGUEL ALEMAN,TAMAULIPAS,28025090034,21/02/19,PSICOTROPICOS
FARMACIAS CON MINISUPER OCHOA,FARMACIA,IGNACIO M. ALTAMIRANO No. 144 ENTRE ANTONIO ALZATE Y BLVD.,COL. EDUCACION,88300,MIGUEL ALEMAN,TAMAULIPAS,28025090019,14/06/10,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA PLAZA,FARMACIA,LIBERTAD E/ITURBIDE,CENTRO,88440,CAMARGO,TAMAULIPAS,28007090005,05/09/02,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA PUREX SUC. MIGUEL ALEMAN,FARMACIA,ZARAGOZA VELA RMZ. # 679 ESQ. BLVD. M. ALEMAN,EDUCACION,88306,MIGUEL ALEMAN,TAMAULIPAS,28025090005,27/08/03,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA RAMY,FARMACIA,MIER Y TERAN # 504,CENTRO,88440,GUERRERO,TAMAULIPAS,28014090002,14/07/03,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA REND-MART,FARMACIA,HERMANOS GUTIERREZ DE LARA S/N,CENTRO,88440,GUERRERO,TAMAULIPAS,28014090003,27/10/06,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA RIO GRANDE,FARMACIA,LIBERTAD # 603-A E/VERACRUZ Y JALISCO,CENTRO,88440,CAMARGO,TAMAULIPAS,28007090013,04/11/05,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA SAN MARTIN DE PORRES,FARMACIA,LIBERTAD # 205  E/JUAREZ Y TAMPICO,CENTRO,88440,CAMARGO,TAMAULIPAS,28007090024,30/09/08,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA SORIANA EXPRESS MIGUEL ALEMAN,FARMACIA,AV. EMILIANO ZAPATA PTE. NO. 445,ZONA CENTRO,88300,MIGUEL ALEMAN,TAMAULIPAS,28025090022,19/03/14,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
ESTABLECIMIENTO,"GIRO 
(FARMACIA 
BOTICA, 
DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO     
POSTAL",MUNICIPIO,ENTIDAD,NO. LICENCIA,"FECHA 
EXPEDICION","LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
GRUPO MEDICOS UNIDOS S.A. DE C.V.,FARMACIA,16 DE SEPTIEMBRE #  287,CENTRO,88400,CAMARGO,TAMAULIPAS,28007090001,08/02/02,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
BOTICA SAGRADO CORAZON,FARMACIA,PRIMERA ESQ. C/ RIO BRAVO S/N,CENTRO,87500,VALLE HERMOSO,TAMAULIPAS,28040090012,26/06/06,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA ABC,FARMACIA,AVENIDA BENITO JUAREZ NO. 111,ZONA CENTRO NUEVO PROGRESO,88810,RIO BRAVO,TAMAULIPAS,28033090147,26/09/11,PSICOTROPICOS
FARMACIA A.M.C.,FARMACIA,REYNOSA # 113-10,CENTRO,88810,RIO BRAVO,TAMAULIPAS,28033090058,31/01/06,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA ANDROMEDA,FARMACIA,REYNOSA # 113 L-9,CENTRO,88810,RIO BRAVO,TAMAULIPAS,28033090049,22/07/05,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA AZTECA,FARMACIA,AVE. BENITO JUAREZ # 142,CENTRO,88810,RIO BRAVO,TAMAULIPAS,28033090027,14/05/03,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA AZTECA,FARMACIA,AVE. BENITO JUAREZ # 121,CENTRO,88810,RIO BRAVO,TAMAULIPAS,28033090048,22/07/05,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA AZTECA,FARMACIA,REYNOSA # 212 A E/COAHUILA Y SONORA,CENTRO,88810,RIO BRAVO,TAMAULIPAS,28033090092,04/06/08,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIA AZTEKA,FARMACIA,AV. JUAREZ NO. 207-B,ZONA CENTRO,88810,"NUEVO 
PROGRESO",TAMAULIPAS,28033090126,08/05/13,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. RIO BRAVO OTE.,FARMACIA,AVE. FRANCISCO I. MADERO OTE. # 216,CENTRO,88900,RIO BRAVO,TAMAULIPAS,28033090076,17/05/07,"PSICOTROPICOS,VACUNAS, TOXOIDES, SUEROS,ANTIOXIDANTES Y 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. REY,FARMACIA,AVE. FRANCISCO I. MADERO # 406,CENTRO,88900,RIO BRAVO,TAMAULIPAS,28033090078,17/05/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. RIO BRAVO PTE.,FARMACIA,AV. FRANCISCO I. MADERO,CENTRO,88900,RIO BRAVO,TAMAULIPAS,28033090079,17/05/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. ADUANA,FARMACIA,REYNOSA ESQ. C/COAHUILA,CENTRO,88810,RIO BRAVO,TAMAULIPAS,28033090080,17/05/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. LAS FLORES,FARMACIA,AVE. JUAREZ # 141 SUR,CENTRO,88900,RIO BRAVO,TAMAULIPAS,28033090081,17/05/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. SAN JUAN,FARMACIA,AVE. LAS AMERICAS Y PLAZA HIDALGO,LAS AMERICAS,88900,RIO BRAVO,TAMAULIPAS,28033090082,17/05/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. SECUNDARIA,FARMACIA,JALAPA S/N,FRACC. RIO BRAVO,88900,RIO BRAVO,TAMAULIPAS,28033090094,17/05/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. 18 DE MARZO,FARMACIA,AVE. LAZARO CARDENAS Y RIO BRAVO ESQUINA,CENTRO,87500,VALLE HERMOSO,TAMAULIPAS,28040090016,26/07/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. VALLE HERMOSO,FARMACIA,JOSE GARCIA CARDENAS S/N,CENTRO,87500,VALLE HERMOSO,TAMAULIPAS,28040090017,26/07/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. DEL VALLE,FARMACIA,AVE. LAZARO CARDENAS S/N ESQ. FCO. I. MADERO,CENTRO,87500,VALLE HERMOSO,TAMAULIPAS,28040090018,26/07/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA BODEGA AURRERA VALLE HERMOSO,FARMACIA,BRECHA 120 K 825 375 W # 703,AGRICOLA 18 MZO.,87350,VALLE HERMOSO,TAMAULIPAS,28040090022,03/12/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA CANADA STORE,FARMACIA,AVE. BENITO JUAREZ # 101,CENTRO,88810,RIO BRAVO,TAMAULIPAS,28033090008,05/03/02,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
"FARMACIA CLINICA HOSPITAL ""B"" ISSSTE RIO BRAVO",FARMACIA,AV. LAS AMERICAS NO. 600-A,COL. FOVISTE,88900,RIO BRAVO,TAMAULIPAS,28033090122,17/12/12,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA CROSS,FARMACIA,GUANAJUATO # 517,PARAISO,88920,RIO BRAVO,TAMAULIPAS,28033090032,03/10/03,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA CROSS II,FARMACIA,AVE. JUAREZ S/N E/CHIHUAHUA,CENTRO,88810,RIO BRAVO,TAMAULIPAS,28033090021,09/01/03,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA DANNY'S,FARMACIA,AV. BENITO JUAREZ NO. 144 ENTRE SONORA Y TAMAULIPAS,ZONA CENTRO NVO. PROGRESO,88810,RIO BRAVO,TAMAULIPAS,28033090135,02/12/14,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA DE LA ROSA,FARMACIA,AVE. JUAREZ # 301,CENTRO,88810,RIO BRAVO,TAMAULIPAS,28033090105,04/10/10,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA DEL HOSPITAL CIVIL LUIS G. FALCON,FARMACIA,5 DE FEBRERO E/JUAREZ Y MORELOS,CENTRO,87500,VALLE HERMOSO,TAMAULIPAS,28040090005,29/01/04,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA DEL HOSPITAL FRAL DE RIO BRAVO,FARMACIA,"CARR. REYNOSA-MATAMOROS KM. 108,",COL. CONALEP,88940,RIO BRAVO,TAMAULIPAS,28033090123,07/01/13,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA DEL HOSPITAL GRAL VALLE HERMOSO,FARMACIA,CARR. 120 KM. 78 ENTRE BRECHA 120 Y BRECHA 73,COL. AGRICOLA MAGUEYES,87500,VALLE HERMOSO,TAMAULIPAS,28040090027,30/07/13,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA DEL RIO,FARMACIA,MEXICO NO. 100 ESQ. CON FRANCISCO I. MADERO,COL. PRIMERO DE MAYO,88910,RIO BRAVO,TAMAULIPAS,28033090124,11/02/13,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA DEL VALLE,FARMACIA,BENITO JUAREZ # 114,CENTRO,88810,RIO BRAVO,TAMAULIPAS,28033090057,15/12/05,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
