ESTABLECIMIENTO,GIRO,CALLE Y NO.,COLONIA,"CODIGO 
POSTAL","MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION 
AUTORIZADAS 
(ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN 
ANIMAL, HEMODERIVADOS)"
La Providencia,Farmacia,Av. Morelos # 61,Centro,59300,La Piedad,Michoacán,16 069 09 0002,30/06/2000,"Ps., V., T."
Fenix,Farmacia,Hidalgo # 152,Centro,59300,La Piedad,Michoacán,16 069 09 0003,28/06/2000,"Ps., V., T."
Fenix Centro,Farmacia,Ocampo # 32,Centro,59300,La Piedad,Michoacán,16 069 09 0005,28/06/2000,"Ps., V., T."
Super Farmacia El Niño Doctor,Farmacia,Guerrero # 29 - B,Centro,59300,La Piedad,Michoacán,16 069 09 0010,09/05/2003,"Ps., V., T."
"Farmacias Benavides/Sucursal Mariano 
Jiménez",Farmacia,Mariano Jimenez # 620,Centro,59300,La Piedad,Michoacán,16 069 09 0012,28/02/2019,"Ps., V., T., S., A., H."
"Farmacias Benavides/Sucursal Heriberto 
Jara",Farmacia,Avenida Heriberto Jara # 56,Centro,59300,La Piedad,Michoacán,16 069 09 0013,07/02/2019,"Ps.,V., T.,.S.,A.,H."
"Farmacias Abc de Mexico, S. A. de C. V.",Farmacia,Boulevard Lázaro Cárdenas # 245,Centro,59300,La Piedad,Michoacán,16 069 09 0014,19/02/2008,"Ps., V., T., S., A., H."
Cruz Roja,Farmacia,Portal Morelos # 4,Centro,59300,La Piedad,Michoacán,16 069 09 0015,28/06/2000,"Ps., V., T."
Navarro,Farmacia,Boulevard Adolfo Lopez Mateos 116-B,Centro,59300,La Piedad,Michoacán,16 069 09 0016,28/06/2000,"Ps., V., T."
Rex Hidalgo,Farmacia,Aquiles Serdán # 87,Centro,59300,La Piedad,Michoacán,16 069 09 0017,28/06/2000,"Ps., V., T."
Santa Maria,Farmacia,Vicente Guerrero # 110 - A,Centro,59300,La Piedad,Michoacán,16 069 09 0018,29/05/2008,"Ps., V., T., S., A."
La Parroquia,Farmacia,Juarez y Madero S/N,Centro,59300,La Piedad,Michoacán,16 069 09 0019,28/06/2000,"Ps., V., T."
San Martin,Farmacia,Pedro Chavolla # 25-C,Centro,59300,La Piedad,Michoacán,16 069 09 0020,28/06/2000,"Ps., V., T."
Michoacan,Botica,Av. Michoacan # 173 - B,Centro,59300,La Piedad,Michoacán,16 069 10 0021,28/06/2000,"Ps., V., T."
Santa Elena,Farmacia,Coahuila # 105,San Rafael,59330,La Piedad,Michoacán,16 069 09 0022,28/06/2000,"Ps., V., T."
"Hospital General ""La Piedad""",Botica,España # 400,Europea,59350,La Piedad,Michoacán,16 069 10 0025,26/10/2009,"E., Ps., V., T., S., A., H."
Del Carmen,Botica,Enrique Ramirez # 28 - 12,Fracc. Peña,59389,La Piedad,Michoacán,16 069 10 0026,29/06/2000,"Ps., T., S., A."
Francesa,Farmacia,Madero # 151,Centro,59300,La Piedad,Michoacán,16 069 09 0029,29/06/2000,"Ps., V., T."
Antigua Botica Del Refugio,Farmacia,Aquiles Serdán # 4 - Bis,Centro,59300,La Piedad,Michoacán,16 069 09 0030,29/06/2000,"Ps., V., T."
San Francisco De Asis,Farmacia,Hidalgo # 52 - Bis,Centro,59300,La Piedad,Michoacán,16 069 09 0031,30/06/2000,"Ps., V., T., A."
Guadalajara,Farmacia,Hidalgo # 49,Sin Colonia,59300,La Piedad,Michoacán,16 069 09 0032,30/06/2000,"Ps., V., T."
San Francisco de Asis,Farmacia,Mariano Jiménez # 649,Centro,59389,La Piedad,Michoacán,16 069 09 0033,30/06/2000,"Ps., V., T., A."
La Conchita,Farmacia,Parque Marcos H. Pulido # 230,La Purisima,59300,La Piedad,Michoacán,16 069 09 0034,30/06/2000,"Ps., V., T."
Del Pueblo,Farmacia,Mariano Jiménez # 844-A,Centro,59300,La Piedad,Michoacán,16 069 09 0035,30/06/2000,"Ps., V., T."
Del Sol,Farmacia,Via Láctea S/N Local B-7,Fracc. Ciudad del Sol,59310,La Piedad,Michoacán,16 069 09 0036,30/06/2000,"Ps., V., T."
Super Farmacia del Niño Doctor,Farmacia,Belisario Dominguez # 45,Centro,59300,La Piedad,Michoacán,16 069 09 0037,26/03/2003,"Ps., V., T."
Andrea,Droguería,Quinceo # 250 Esq. Uruapan,V. de Quiroga,59380,La Piedad,Michoacán,16 069 11 0038,06/07/2000,"Ps., V., T."
Estadio,Farmacia,Heriberto Jara # 53 - A,Centro,59300,La Piedad,Michoacán,16 069 09 0040,28/09/2000,"Ps., V., T."
Farmacia Uruguay,Farmacia,Belisario Dominguez # 142 - A,Centro,59300,La Piedad,Michoacán,16 069 09 0042,01/03/2007,"Ps., V., T."
San Martin,Farmacia,Rivapalacio # 57,Centro,59300,La Piedad,Michoacán,16 069 09 0044,21/02/2001,"Ps., V., T."
Bodega Aurrera,Farmacia,Boulevard Lázaro Cárdenas # 1129,Centro,59300,La Piedad,Michoacán,16 069 09 0045,09/03/2001,"Ps., V., T."
San Francisco de Asis,Farmacia,Boulevard Adolfo Lopez Mateos # 328,Centro,59300,La Piedad,Michoacán,16 069 09 0046,18/03/2009,"Ps., V., T., A."
Botica Unidad de Medicina Familiar No. 77,Botica,Boulevard Adolfo Lopez Mateos # 520,Centro,59830,La Piedad,Michoacán,16 069 10 0047,19/06/2003,"Ps., V., T."
Farmacias Benavides/Sucursal Boulevard,Farmacia,Lazaro Cardenas # 310,Centro,59300,La Piedad,Michoacán,16 069 09 0048,19/02/2008,"Ps., V., T., S., A., H."
Botica Unidad de Medicina Familiar No. 7,Botica,Cipres # 63,Arboledas,59300,La Piedad,Michoacán,16 069 10 0049,17/03/2006,"E., Ps., V., T., S., A."
San Francisco De Asis,Farmacia,Av. Via Lactea # 552,Ciudad del Sol,59510,La Piedad,Michoacán,16 069 09 0050,12/03/2002,"Ps.,V., T., S., A."
Farmaciopolis,Farmacia,Boulevard Lázaro Cárdenas # 182,Centro,59300,La Piedad,Michoacán,16 069 09 0051,05/12/2002,"Ps., V., T."
F. Isseg No. 131,Farmacia,Portal Abasolo # 1,Centro,59300,La Piedad,Michoacán,16 069 09 0052,30/06/2005,"Ps., V., T., S., .A, H."
"Farmacias Benavides SAB DE 
CV/Sucursal Centro",Farmacia,Hidalgo Esq. Pedro Chavolla S/N,Centro,59300,La Piedad,Michoacán,16 069 09 0053,05/04/2019,"Ps., V., T., S., A., H."
"Farmacias Benavides SAB DE 
CV/Sucursal Juarez (Matriz)",Farmacia,Juárez Esq. Guerrero S/N,Centro,59300,La Piedad,Michoacán,16 069 09 0054,01/03/2019,"Ps., V., T., S., A., H."
Super Farmacia Del Niño Doctor,Farmacia,16 De Septiembre # 89,Centro,59300,La Piedad,Michoacán,16 069 09 0055,16/03/2006,"Ps., V., T., S., A."
Issste Farmacia Issste,Botica,Nigromante # 500,Los Pinos,59350,La Piedad,Michoacán,16 069 10 0057,10/10/2006,Ps.
Botica San Angel,Botica,Boulevard Adolfo López Mateos # 362,Centro,59300,La Piedad,Michoacán,16 069 10 0058,27/03/2006,"E., Ps., V."
Super Farmacias Poly,Farmacia,Sóstenes Rocha # 516,Juarez,59300,La Piedad,Michoacán,16 069 09 0059,03/04/2007,Ps.
Farmacia Isseg No. 150,Farmacia,Enrique Ramirez # 48 Locales 15 Y 16,Centro,59300,La Piedad,Michoacán,16 069 09 0060,03/03/2010,"Ps., V., T., S., A. H."
"Farmacias Abc De Mexico, S. A. De C. V.",Farmacia,Mariano Jimenez # 146,Centro,59300,La Piedad,Michoacán,16 069 09 0061,05/02/2009,"Ps., V., T., S., A., H."
"Farmacias Abc De Mexico, S. A. De C. V.",Farmacia,Portal Abasolo # 35,Centro,59300,La Piedad,Michoacán,16 069 09 0062,29/05/2008,"Ps., V., T., S., A., H."
"Farmacias Benavides SAB DE CV/ 
Sucursal Juan Pablo II",Farmacia,Boulevard Lazaro Cardenas # 1001,Las Arboledas,59377,La Piedad,Michoacán,16 069 09 0063,05/04/2019,"Ps., V., T., S., .A, H."
Pro Beauty,Farmacia,Juan Alvarez # 14,Centro,59300,La Piedad,Michoacán,16 069 09 0064,28/10/2008,Ps.
Wal Mart Supercenter La Piedad,Farmacia,Boulevard Lazaro Cardenas # 3001-b,Lázaro Cárdenas,59374,La Piedad,Michoacán,16 069 09 0068,28/07/2011,"Ps., V., T., S., A., H."
Farmacia SAM´S La Piedad,Farmacia,Boulevard Lazaro Cardenas #30001-A,Lázaro Cárdenas,59374,La Piedad,Michoacán,16 069 09 0067,28/07/2011,"Ps., V., T., S., A., H."
Farmacias Del Ahorro,Farmacia,Hidalgo # 51,Centro,59300,La Piedad,Michoacán,16 069 09 0065,19/01/2009,"Ps., V., T., S., A."
Farmacias Del Ahorro,Farmacia,Aquiles Serdán # 118,Centro,59300,La Piedad,Michoacán,16 069 09 0069,10/10/2011,"Ps., V., T., S., A., H."
"Tiendas Soriana, S.A. De C.V.",Farmacia,Av. Juan Pablo II No. 901,México,59310,La Piedad,Michoacán,16 069 09 0070,17/12/2012,"Ps., V., T., H."
"NADRO, S.A. de C.V.  Hosp. General La 
Piedad",Botica,España # 400,Europea,58801,La Piedad,Michoacán,16 069 10 0072,26/02/2013,"E., Ps."
Farmacias Del Ahorro,Farmacia,Hidalgo 51,Centro,59300,La Piedad,Michoacán,16 069 09 0073,05/06/2018,"Ps.,V.,T.,A.,S.,H."
Farmacias Del Ahorro,Farmacia,Aquiles Serdan No. 118,Centro,59300,La Piedad,Michoacán,16 069 09 0074,11/12/2013,Ps.
Farmacia Isseg No. 248,Farmacia,José María Pino Suárez #248,Centro,59300,La Piedad,Michoacán,16 069 09 0076,28/02/2018,"Ps., V., T., S., A., H."
Farmacias Del Ahorro,Farmacia,Blvd. Lázaro Cárdenas  # 1355,Sabinos,59337,La Piedad,Michoacán,16 069 09 0078,05/06/2018,"Ps.,V.,T.,A.,S.,H."
Farmacia Especializada de México,Farmacia,Juárez # 219,Centro,59300,La Piedad,Michoacán,16 069 09 0079,10/03/2015,"E, Ps"
F. Disur del Hosp. Gral de La Piedad,Botica,España # 400,La Europea,59350,La Piedad,Michoacán,16 069 10 0080,10/03/2015,"E, Ps"
"Farmacia Guadalajara, S.A. de C.V.",Farmacia,Blvd. Adolfo López Mateos No. 442-A,Banquetes,59350,La Piedad,Michoacán,16 069 09 0081,23/02/2016,Ps.
Farmacia La Cruz,Farmacia,Pedro Moreno No. 95,Fracc. Peña,59389,La Piedad,Michoacán,16 069 09 0082,17/08/2016,"E.,Ps."
"F. El Fenix del Centro Hospital Genenral 
Benito Juarez",Farmacia,España No. 400,La Europea,59350,La Piedad,Michoacán,16 069 09 0085,02/02/2018,"E.,Ps.,V.,T.,A.,S.,H."
"F. MEDALFA Hospital General Benito 
Juarez",Farmacia,España No. 400,La Europea,59350,La Piedad,Michoacán,16 069 09 0086,20/03/2018,"E.,Ps.,V.,T.,A.,S.,H."
Rosales,Farmacia,Fagoaga 372,Centro,58502,Puruándiro,Michoacán,16 071 09 0109,13/12/2001,Ps.
Guadalupana,Farmacia,Matamoros # 308 - A,Centro,58500,Puruándiro,Michoacán,16 071 09 0175,16/12/2002,Ps.
Farmacia Central,Farmacia,Emiliano Carranza # 24,Centro,58500,Puruándiro,Michoacán,16 071 09 0001,18/12/2006,"Ps., V., T., S., A."
Sagrado Corazon,Farmacia,Morelos # 18,Centro,58500,Puruándiro,Michoacán,16 071 09 0002,06/12/2000,"Ps., V., T., S., A., H."
Esquivel,Farmacia,Portal Morelos # 47,Centro,58500,Puruándiro,Michoacán,16 071 09 0003,06/12/2000,"Ps., V., T., S., .A, H."
Sarita,Farmacia,Ocampo # 406 - A,Centro,58500,Puruándiro,Michoacán,16 071 09 0004,09/01/2001,"Ps., V., T."
U.M.F.H. No. 64,Botica,Sócrates # 140,Vista Bella,58500,Puruándiro,Michoacán,16 071 10 0006,02/05/2003,"Ps., V., T."
"Farmacias Benavides SAB de 
CV/Sucursal Puruandiro",Farmacia,Guerrero # 23 Local 3,Centro,58500,Puruándiro,Michoacán,16 071 09 0007,05/04/2019,"Ps., V., T., S., A., H."
Villicaña,Farmacia,Morelos # 187 - A,Centro,58502,Puruándiro,Michoacán,16 071 09 0008,13/12/2001,"Ps., V., T."
Farmapronto,Farmacia,Emiliano Carranza # 12,Centro,50500,Puruándiro,Michoacán,16 071 09 0010,11/04/2002,"Ps., V., T., S., .A, H."
Botica Del Refugio,Farmacia,Portal Morelos # 15,Centro,58500,Puruándiro,Michoacán,16 071 09 0011,15/09/2003,"Ps., V., T."
F. Del Señor De La Salud,Farmacia,Villalongin # 341 - B,Centro,58500,Puruándiro,Michoacán,16 071 09 0012,06/04/2004,Ps.
F. Vero,Farmacia,5 De Mayo # 2,Centro,58500,Puruándiro,Michoacán,16 071 09 0013,19/05/2004,"Ps., V., T., S."
F. Alma,Farmacia,Abasolo # 650 -B,Centro,58500,Puruándiro,Michoacán,16 071 09 0014,15/12/2004,"Ps., V., T., S., A."
Super Farmacia Mexicana Suc. Puruandiro,Farmacia,Guillermo Prieto # 88,Centro,58502,Puruándiro,Michoacán,16 071 09 0016,01/03/2005,"Ps., V., T., S., A., H."
Super Farmacia Del Niño Doctor,Farmacia,Guerrero # 23 Local 3,Centro,58500,Puruándiro,Michoacán,16 071 09 0017,11/08/2005,"Ps., V., T., S., A., H."
F. America,Farmacia,Bravo # 289 - A,Centro,58500,Puruándiro,Michoacán,16 071 09 0018,02/09/2005,Ps.
F. del Rosario,Farmacia,Madero # 4,Centro,58513,Puruándiro,Michoacán,16 071 09 0019,02/09/2005,Ps.
Mi Bodega Aurrera Puruandiro,Farmacia,Emilio Carranza # 466,Centro,58500,Puruándiro,Michoacán,16 071 09 0020,21/02/2006,"Ps., V., T., S., A., H."
"Farmacias Benavides/Sucursal 
Puruandiro,  Mich. 2",Farmacia,Portal Hidalgo # 35 - A,Centro,58500,Puruándiro,Michoacán,16 071 09 0021,26/07/2016,"Ps., V., T., S., A."
Super Farmacias Mexicana,Farmacia,Abasolo # 90,Centro,58500,Puruándiro,Michoacán,16 071 09 0022,22/08/2006,"E., Ps., V., T., S., A., H."
Super Farmacias Mexicana,Farmacia,Emilio Carranza # 295,Centro,58202,Puruándiro,Michoacán,16 071 09 0023,22/08/2007,"E., Ps., V., T., S., A., H."
Super Farmacias Mexicana,Farmacia,Guillermo Prieto # 80,Centro,58502,Puruándiro,Michoacán,16 071 09 0025,27/08/2007,"E., Ps., V., T., S., A., H."
Farmacia Botica Del Refugio No. 2,Farmacia,Melchor Ocampo # 406,Centro,58500,Puruándiro,Michoacán,16 071 09 0026,22/08/2007,"E., Ps., T."
Farmacia Torres,Farmacia,Vicente Guerrero # 6,Centro,58530,Puruándiro,Michoacán,16 071 09 0028,05/10/2007,"Ps., V., T., S., A., H."
Santa Maria,Farmacia,Miguel Alemán # 57 - A,Centro,58500,Puruándiro,Michoacán,16 071 09 0029,07/09/2009,"Ps., T., S."
Farmacia Del Hospital General Puruandiro,Botica,Carretera Puruándiro - Pastor Ortiz Km. 4.5,Sin Colonia,58500,Puruándiro,Michoacán,16 071 10 0030,18/09/2009,"E., Ps."
Farmacias Del Ahorro,Farmacia,Vicente Guerrero # 10,Centro,58500,Puruándiro,Michoacán,16 071 09 0031,20/11/2009,"Ps., V., T."
Farmapronto,Farmacia,Vicente Guerrero # 23 - A,Centro,58500,Puruándiro,Michoacán,16 071 09 0032,19/02/2010,"E., Ps., V., T., S., A., H."
Farmapronto,Farmacia,Vicente Guerrero # 23 - A,Centro,58500,Puruándiro,Michoacán,16 071 09 0032,09/01/2015,Ps
Farmacity,Farmacia,Emilio Carranza # 295,Centro,58500,Puruándiro,Michoacán,16 071 09 0033,19/02/2010,"E., Ps., V., T., S., A., H."
Farmacity,Farmacia,Vicente Guerrero # 35 - A,Centro,58500,Puruándiro,Michoacán,16 071 09 0034,19/02/2010,"E., Ps., V., T., S, A., H."
Juarez,Farmacia,Juarez # 167,Centro,58500,Puruándiro,Michoacán,16 071 09 0035,12/04/2010,Ps.
"NADRO, S.A. de C.V.  Hosp. General de 
Puruandiro",Botica,Carr. Puruandiro Pastor Ortiz KM 4.5,Centro,58501,Puruándiro,Michoacán,16 071 10 0036,11/12/2013,"E., Ps."
Farmacia El Pastillero,Farmacia,Av. Guerrero No. 16-A,Centro,58500,Puruándiro,Michoacán,16 071 09 0037,19/12/2013,Ps.
F. Disur del Hosp. Gral de Puruándiro,Botica,Carr. Puruandiro Pastor Ortiz KM 4.5,Centro,58500,Puruándiro,Michoacán,16 071 09 0038,09/01/2015,"Ps., V., T., S., A., H."
Farmacia I.S.S.E.G. No. 219,Farmacia,Zendejas No. 54,Centro,58500,Puruándiro,Michoacán,16 071 09 0040,11/11/2015,"Ps., V., T., S., A., H."
"Farmacias El Fenix del Centro Hospital 
General Puruandiro",Farmacia,Carr. Puruandiro Pastor Ortiz KM 4.5,Puruandiro,58500,Puruándiro,Michoacán,16 071 09 0042,02/02/2018,"E.,PS.,V.,T.,A.,S.,H."
F. MEDALFA Hospital General Puruandiro,Farmacia,Carr. Puruandiro-Pastor Ortiz KM. 4.5 s/n,Puruandiro,58500,Puruándiro,Michoacán,16 071 09 0043,20/03/2018,"E.,Ps.,V.,T.,A.,S.,H."
Botica del Refugio,Farmacia,Portal Morelos No. 15,Puruandiro,58500,Puruándiro,Michoacán,16 071 09 0044,07/02/2019,"Ps.,V.,T."
F. Esquivel,Farmacia,Portal Morelos No. 47,Centro,58500,Puruándiro,Michoacán,16 071 09 0045,06/02/2019,"Pv.,T.,A.,S.,H."
Botica Del Angel,Botica,Isaac Arriaga # 3,Centro,59230,Tanhuato,Michoacán,16 086 10 0003,12/03/2009,"Ps., V., T., S., A., H."
Cristo Milagroso,Botica,Isaac Arriaga # 5,Centro,59230,Tanhuato,Michoacán,16 086 10 0004,29/06/2000,"Ps., T."
Farmacia La Providencia,Farmacia,Hidalgo # 5,Centro,59230,Tanhuato,Michoacán,16 086 09 0005,29/05/2007,Ps.
"Farmacia Abc De Mexico, S. A. De C. V.",Farmacia,Ocampo # 16 - A,Centro,59230,Tanhuato,Michoacán,16 086 09 0006,30/05/2008,"Ps., V., T., S., A."
San Jose,Botica,Jose Maria Morelos # 138,Centro,58740,Tlazazalca,Michoacán,16 094 10 0001,08/06/2000,"Ps., V., T."
Del Angel,Farmacia,Francisco I. Madero # 109,Centro,58740,Tlazazalca,Michoacán,16 094 09 0002,14/06/2016,"Ps., V., T.,S.,A.,H."
Faby,Farmacia,Aquiles Serdán # 68,Centro,58740,Tlazazalca,Michoacán,16 094 09 0003,03/10/2002,"Ps., V, T., S."
San Miguel,Farmacia,Aquiles Serdán # 18,Centro,58740,Tlazazalca,Michoacán,16 094 09 0005,09/10/2002,"Ps., V., T."
Farmacia San Miguel,Farmacia,Aquiles Serdán # 18,Centro,58740,Tlazazalca,Michoacán,16 094 09 0006,08/08/2016,"Ps., V., T., S., A."
Tlazazalca,Farmacia,Francisco I. Madero # 300,Centro,58740,Tlazazalca,Michoacán,16 094 09 0007,29/04/2011,"E., Ps., V., T., S., A., H."
Rocio,Farmacia,Aldama # 16,La Loma,59250,Yurecuaro,Michoacán,16 106 09 0001,30/06/2000,"Ps., V., T."
Patricia,Farmacia,Portal Negrete # 4 - A,Centro,59250,Yurécuaro,Michoacán,16 106 09 0002,06/05/2004,"Ps., V., T."
Yurecuaro,Farmacia,Hidalgo # 18,Centro,59250,Yurécuaro,Michoacán,16 106 10 0004,29/06/2000,"Ps., V., T."
Gloria,Farmacia,Portal Hidalgo # 15,Centro,59250,Yurécuaro,Michoacán,16 106 09 0005,29/06/2000,Ps.
Zamora,Farmacia,Zepeda # 71,Centro,59250,Yurécuaro,Michoacán,16 106 09 0007,10/11/2000,"Ps., T."
Sagrado Corazon De Jesus,Farmacia,Justo Sierra # 13,Centro,59250,Yurécuaro,Michoacán,16 106 09 0009,19/12/2001,"Ps., V., T."
"Farmacias Abc De Mexico, S.A. De C.V.",Farmacia,Hidalgo # 19,Centro,59250,Yurécuaro,Michoacán,16 106 09 0010,30/05/2008,"Ps., V., T., S., A., H."
U. M. F. No. 72,Farmacia,Independencia # 233,Ferrocarril,59250,Yurécuaro,Michoacán,16 106 09 0011,23/07/2002,"Ps., V, T., S."
Farmacias San Francisco De Asis,Farmacia,General Vicente Guerrero # 40,Centro,59250,Yurécuaro,Michoacán,16 106 09 0012,09/10/2002,"Ps., V., T."
Farmacia Del Centro,Farmacia,Morelos # 8,Centro,59250,Yurécuaro,Michoacán,16 106 09 0013,06/01/2006,"E., Ps."
Farmacia Mi Bodega Yurecuaro,Farmacia,Prolongacion Constitución # 29,Centro,59250,Yurécuaro,Michoacán,16 106 09 0014,01/02/2007,"Ps., V., T., S., A."
"Farmacias Abc De Mexico, S.A. De C.V.",Farmacia,Portal Negrete # 1,Centro,59250,Yurécuaro,Michoacán,16 106 09 0015,27/03/2008,"Ps., V., T., S., A., H."
Farmacia La Parroquia,Farmacia,Nacional No. 26,Centro,59250,Yurécuaro,Michoacán,16 106 09 0016,27/08/2018,"Ps., V., T., S., A."
"Farmacia Guadalajara, S.A. de C.V.",Farmacia,Nacional No. 6,Centro,59250,Yurécuaro,Michoacán,16 106 09 0017,12/03/2013,"E., Ps., V., T., S., A., H."
F. Isseg No. 214,Farmacia,Nacional No. 10,Centro,59250,Yurécuaro,Michoacán,16 106 09 0019,10/03/2015,"Ps., V., T., S., A., H."
Instituto Mexicano Del Seguro Social,Botica,Pedro Moreno,Primero de Mayo,59250,Yurécuaro,Michoacán,16 106 10 0020,04/08/2015,"E., Ps."
F. San Charbel,Farmacia,Moctezuma S/N,Centro,59460,Zináparo,Michoacán,16 109 09 0002,11/10/2004,"Ps., V., T."
Farmacia La Original,Farmacia,Farmacia la Original,Centro,59460,Zináparo,Michoacán,16 109 09 0003,11/01/2012,Ps.
Uruapan,Farmacia,Emiliano Zapata # 35 - D,Centro,58540,"Jose Sixto 
Verduzco",Michoacán,16 113 09 0001,06/06/2000,"Ps., V., T."
San Antonio,Farmacia,Avenida Hidalgo # 48,Centro,58540,"Jose Sixto 
Verduzco",Michoacán,16 113 09 0002,28/06/2000,"Ps., V., T."
Santa Ana,Farmacia,Plaza Principal # 1,Centro,58540,"Jose Sixto 
Verduzco",Michoacán,16 113 09 0003,29/06/2000,"Ps., V., T."
Farmacia San Jose,Farmacia,Lazaro Cardenas # 295,Centro,58500,"Jose Sixto 
Verduzco",Michoacán,16 113 09 0005,16/03/2006,"Ps., V., T."
San Francisco De Asis,Farmacia,Hidalgo # 23,Centro,58540,"Jose Sixto 
Verduzco",Michoacán,16 113 09 0006,10/11/2000,"Ps., V., T., S., A."
Miguel Vega,Farmacia,Prolongacion Miguel Hidalgo S/N,Centro,58540,"Jose Sixto 
Verduzco",Michoacán,16 113 09 0007,13/01/2003,"Ps., V., T."
F. San Luis,Farmacia,Conocido,Sin Colonia,58543,"Jose Sixto 
Verduzco",Michoacán,16 113 09 0008,05/07/2004,"Ps., V."
Farmacias Abc De Mexico,Farmacia,Portal Abasolo S/N,Centro,58540,"Jose Sixto 
Verduzco",Michoacán,16 113 09 0009,29/03/2006,"Ps., V., T., S., A."
Farmacia Santa Cruz,Farmacia,Emiliano Zapata # 35 - G,Centro,58540,"Jose Sixto 
Verduzco",Michoacán,16 113 09 0010,05/10/2006,"Ps., V., T."
Farmacia y Perfumeria Roal,Farmacia,Hidalgo # 37,Centro,58543,"Jose Sixto 
Verduzco",Michoacán,16 113 09 0011,27/03/2008,"E., Ps., V."
Farmacia I.S.S.E.G. No. 133,Farmacia,Plaza Principal # 26,Centro,58540,"Jose Sixto 
Verduzco",Michoacán,16 113 09 0012,12/03/2009,"Ps., V., T., S., A."
"Farmacias Benavides/Sucursal Pastor 
Ortiz, Mich.",Farmacia,Portal  Principal S/N,Centro,58540,"Jose Sixto 
Verduzco",Michoacán,16 113 09 0013,15/06/2016,"Ps.,V.,T.,S.,A.,H."
Farmacia I.S.S.E.G. No.133,Farmacia,Melchor Oampo No. 8,Zona Centro,58540,"Jose Sixto 
Verduzco",Michoacán,16 113 09 0014,14/05/2018,"Ps.,V.,T.,S.,A.,H."
F. Peña,Farmacia,Av. Juárez # 216,Centro,60570,Aguililla,Michoacán,16 002 09 0001,18/06/2004,"Ps., V., T., S."
F. Nueva,Farmacia,Carret. El Aguaje-Aguililla S/N,Sin Colonia,60580,Aguililla,Michoacán,16 002 09 0002,24/11/2004,"Ps., V., T., S."
F. Anabel,Farmacia,Iturbide # 224,Centro,60570,Aguililla,Michoacán,16 002 09 0003,17/12/2004,"Ps., T., S., A., H."
Farmacia Paris,Farmacia,Av. Constitución De 1814 # 112,Centro,60600,Apatzingán,Michoacán,16 002 09 0004,24/04/2006,"Ps., V., T., S., A., H."
Farmacia Nueva Guinea,Farmacia,Av. Juárez # 134,Centro,60570,Aguililla,Michoacán,16 002 09 0005,04/05/2007,"E., Ps., V., T., S."
Farmacia Nueva,Farmacia,Josefa Ortiz De Domínguez S/N,Centro,60580,Aguililla,Michoacán,16 002 09 0006,15/06/2010,"E., Ps., V., S."
F. Interna,Farmacia,portal morelos No. 07,centri,60570,Aguililla,Michoacán,16 002 09 0007,29/03/2016,Ps.
F. Ocampo,Farmacia,Ocampo # 58,Centro,60000,Aguililla,Michoacán,16 002 09 0041,17/12/2004,"Ps., V., T., S., A., H."
Farmacia Ocampo,Farmacia,Ocampo No. 58,Centro,60570,Aguililla,Michoacán,16 002 09 0008,19/06/2017,Ps.
Sagrado Corazón II,Farmacia,Francisco Villa # 194,Lázaro Cárdenas,60630,Apatzingán,Michoacán,16 006 09 0122,28/04/2000,"Ps., V., T."
La Salud,Farmacia,Temoc García Rubio # 2,Cenobio Moreno,60710,Apatzingán,Michoacán,10 000 60 9003,02/04/2004,"Ps., V., T., S., A., H."
Sagrado Corazón,Farmacia,Heriberto Jara # 43,Centro,60600,Apatzingán,Michoacán,16 006 09 0001,09/05/2003,"Ps., V., T., S., A., H."
Sagrado Corazón,Farmacia,Av. Francisco I. Madero # 270,Buenos Aires,60610,Apatzingán,Michoacán,16 006 09 0002,03/11/2004,"Ps., V., T., S., A."
Súper Farmacia Sagrado Corazón,Farmacia,Samuel Castañón Poniente # 6,Centro,60600,Apatzingán,Michoacán,16 006 09 0003,11/06/2003,"Ps., V., T., S."
Sagrado Corazón,Farmacia,Av. Morelos Pte. # 519 - A,Centro,60600,Apatzingán,Michoacán,16 006 09 0004,07/12/2010,"Ps., V., T., S., .A."
Del Ahorro Sagrado Corazón,Farmacia,Av. 5 De Mayo # 835,Morelos,60640,Apatzingán,Michoacán,16 006 09 0005,27/06/2000,"Ps., V., T."
Sagrado Corazón,Farmacia,Av. 22 De Octubre # 252,Babilonia,60670,Apatzingán,Michoacán,16 006 09 0006,27/06/2000,"Ps., V., T."
Sagrado Corazón II,Farmacia,Francisco Villa # 194,Lázaro Cárdenas,60630,Apatzingán,Michoacán,16 006 09 0007,27/06/2000,"Ps., V., T."
El Pastillero,Farmacia,Av. Constitución De 1814 Sur # 47,Centro,60600,Apatzingán,Michoacán,16 006 09 0008,27/06/2000,"Ps., V., T."
Guadalajara,Farmacia,Constitución De 1814 # 400,Centro,60600,Apatzingán,Michoacán,16 006 09 0009,04/09/2000,"Ps., V., T., S., A., H."
Guadalajara,Farmacia,Constitución De 1814 # 96,Centro,60600,Apatzingán,Michoacán,16 006 09 0010,04/09/2000,"Ps., V., T., S., A., H."
